Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
8,Line,wedge,0,10,0.508807,Partial Breach (8 escaped, 2 captured)
8,Line,wedge,1,10,0.409574,Partial Breach (8 escaped, 2 captured)
8,Line,wedge,2,10,0.523478,Partial Breach (7 escaped, 3 captured)
8,Line,wedge,3,10,0.439162,Partial Breach (8 escaped, 2 captured)
8,Line,wedge,4,10,0.434093,Partial Breach (8 escaped, 2 captured)
8,Line,wedge,5,10,0.413806,Partial Breach (7 escaped, 3 captured)
8,Line,wedge,6,10,0.462957,Partial Breach (8 escaped, 2 captured)
8,Line,wedge,7,10,0.335625,Partial Breach (9 escaped, 1 captured)
8,Line,wedge,8,10,0.368278,Partial Breach (9 escaped, 1 captured)
8,Line,wedge,9,10,0.410668,Partial Breach (5 escaped, 5 captured)
8,Line,wedge,10,10,0.396188,Partial Breach (9 escaped, 1 captured)
8,Line,wedge,11,10,0.42534,Partial Breach (8 escaped, 2 captured)
8,Line,wedge,12,10,0.344335,Partial Breach (9 escaped, 1 captured)
8,Line,wedge,13,10,0.360353,Partial Breach (6 escaped, 4 captured)
8,Line,wedge,14,10,0.576671,Partial Breach (7 escaped, 3 captured)
8,Line,wedge,15,10,0.412075,Partial Breach (9 escaped, 1 captured)
8,Line,wedge,16,10,0.483424,Partial Breach (7 escaped, 3 captured)
8,Line,wedge,17,10,0.369515,Partial Breach (9 escaped, 1 captured)
8,Line,wedge,18,10,0.436649,Partial Breach (7 escaped, 3 captured)
8,Line,wedge,19,10,0.454988,Partial Breach (8 escaped, 2 captured)
8,Line,wedge,20,10,0.361258,Partial Breach (8 escaped, 2 captured)
8,Line,wedge,21,10,0.559033,Partial Breach (8 escaped, 2 captured)
8,Line,wedge,22,10,0.292249,Partial Breach (7 escaped, 3 captured)
8,Line,wedge,23,10,0.390058,Partial Breach (9 escaped, 1 captured)
8,Line,wedge,24,10,0.379069,Partial Breach (9 escaped, 1 captured)
8,Line,swarm,25,10,0.592817,Partial Breach (9 escaped, 1 captured)
8,Line,swarm,26,10,0.558731,Partial Breach (8 escaped, 2 captured)
8,Line,swarm,27,10,0.462816,Partial Breach (8 escaped, 2 captured)
8,Line,swarm,28,10,0.464451,Partial Breach (7 escaped, 3 captured)
8,Line,swarm,29,10,0.224441,Partial Breach (9 escaped, 1 captured)
8,Line,swarm,30,10,0.323588,Partial Breach (8 escaped, 2 captured)
8,Line,swarm,31,10,0.213033,Escapers Victory (All 10 breached)
8,Line,swarm,32,10,0.56173,Partial Breach (8 escaped, 2 captured)
8,Line,swarm,33,10,0.34841,Partial Breach (8 escaped, 2 captured)
8,Line,swarm,34,10,0.123429,Escapers Victory (All 10 breached)
8,Line,swarm,35,10,0.181615,Escapers Victory (All 10 breached)
