Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
34,Line,random,86,10,0.343769,Partial Breach (6 escaped, 4 captured)
34,Line,random,87,10,0.368747,Partial Breach (1 escaped, 9 captured)
34,Line,random,88,10,0.373765,Partial Breach (2 escaped, 8 captured)
34,Line,random,89,10,0.367831,Partial Breach (1 escaped, 9 captured)
34,Line,random,90,10,0.455574,Partial Breach (1 escaped, 9 captured)
34,Line,random,91,10,0.378516,Partial Breach (1 escaped, 9 captured)
34,Line,random,92,10,0.351451,Pursuers Victory (All intercepted)
34,Line,random,93,10,0.379679,Pursuers Victory (All intercepted)
34,Line,random,94,10,0.367099,Partial Breach (1 escaped, 9 captured)
34,Line,random,95,10,0.366572,Pursuers Victory (All intercepted)
34,Line,random,96,10,0.381854,Partial Breach (1 escaped, 9 captured)
34,Line,random,97,10,0.386371,Partial Breach (2 escaped, 8 captured)
34,Line,random,98,10,0.313971,Partial Breach (6 escaped, 4 captured)
34,Line,random,99,10,0.363534,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,0,10,0.697704,Partial Breach (2 escaped, 8 captured)
34,Chess,wedge,1,10,0.537026,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,2,10,0.565774,Pursuers Victory (All intercepted)
34,Chess,wedge,3,10,0.610735,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,4,10,0.568549,Partial Breach (2 escaped, 8 captured)
34,Chess,wedge,5,10,0.490528,Partial Breach (2 escaped, 8 captured)
34,Chess,wedge,6,10,0.6458,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,7,10,0.413896,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,8,10,0.361731,Pursuers Victory (All intercepted)
34,Chess,wedge,9,10,0.567198,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,10,10,0.496693,Partial Breach (2 escaped, 8 captured)
34,Chess,wedge,11,10,0.49524,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,12,10,0.384187,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,13,10,0.518646,Pursuers Victory (All intercepted)
34,Chess,wedge,14,10,0.682998,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,15,10,0.436056,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,16,10,0.636829,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,17,10,0.475536,Partial Breach (3 escaped, 7 captured)
34,Chess,wedge,18,10,0.438092,Pursuers Victory (All intercepted)
34,Chess,wedge,19,10,0.600322,Partial Breach (3 escaped, 7 captured)
34,Chess,wedge,20,10,0.518676,Partial Breach (3 escaped, 7 captured)
34,Chess,wedge,21,10,0.69703,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,22,10,0.42988,Partial Breach (5 escaped, 5 captured)
34,Chess,wedge,23,10,0.505055,Partial Breach (1 escaped, 9 captured)
34,Chess,wedge,24,10,0.516003,Partial Breach (1 escaped, 9 captured)
34,Chess,swarm,25,10,0.540367,Pursuers Victory (All intercepted)
34,Chess,swarm,26,10,0.564405,Pursuers Victory (All intercepted)
34,Chess,swarm,27,10,0.439879,Pursuers Victory (All intercepted)
34,Chess,swarm,28,10,0.492948,Pursuers Victory (All intercepted)
34,Chess,swarm,29,10,0.285601,Partial Breach (3 escaped, 7 captured)
34,Chess,swarm,30,10,0.3147,Pursuers Victory (All intercepted)
34,Chess,swarm,31,10,0.278618,Partial Breach (3 escaped, 7 captured)
34,Chess,swarm,32,10,0.549138,Pursuers Victory (All intercepted)
34,Chess,swarm,33,10,0.373928,Pursuers Victory (All intercepted)
34,Chess,swarm,34,10,0.204123,Partial Breach (9 escaped, 1 captured)
34,Chess,swarm,35,10,0.270143,Partial Breach (2 escaped, 8 captured)
34,Chess,swarm,36,10,0.512937,Pursuers Victory (All intercepted)
34,Chess,swarm,37,10,0.466669,Pursuers Victory (All intercepted)
34,Chess,swarm,38,10,0.435696,Pursuers Victory (All intercepted)
34,Chess,swarm,39,10,0.54993,Pursuers Victory (All intercepted)
34,Chess,swarm,40,10,0.586935,Pursuers Victory (All intercepted)
34,Chess,swarm,41,10,0.357917,Pursuers Victory (All intercepted)
34,Chess,swarm,42,10,0.49793,Pursuers Victory (All intercepted)
34,Chess,swarm,43,10,0.244464,Partial Breach (6 escaped, 4 captured)
34,Chess,swarm,44,10,0.963617,Pursuers Victory (All intercepted)
34,Chess,swarm,45,10,0.545878,Pursuers Victory (All intercepted)
34,Chess,swarm,46,10,0.420686,Pursuers Victory (All intercepted)
34,Chess,swarm,47,10,0.531556,Pursuers Victory (All intercepted)
34,Chess,swarm,48,10,0.44131,Pursuers Victory (All intercepted)
34,Chess,swarm,49,10,0.270818,Partial Breach (7 escaped, 3 captured)
34,Chess,stairs,50,10,0.561501,Pursuers Victory (All intercepted)
34,Chess,stairs,51,10,0.502745,Partial Breach (1 escaped, 9 captured)
34,Chess,stairs,52,10,0.43522,Partial Breach (1 escaped, 9 captured)
34,Chess,stairs,53,10,0.387624,Partial Breach (2 escaped, 8 captured)
34,Chess,stairs,54,10,0.41923,Pursuers Victory (All intercepted)
34,Chess,stairs,55,10,0.381013,Partial Breach (1 escaped, 9 captured)
34,Chess,stairs,56,10,0.42023,Partial Breach (2 escaped, 8 captured)
34,Chess,stairs,57,10,0.425616,Pursuers Victory (All intercepted)
34,Chess,stairs,58,10,0.479951,Partial Breach (1 escaped, 9 captured)
34,Chess,stairs,59,10,0.404736,Partial Breach (1 escaped, 9 captured)
34,Chess,stairs,60,10,0.318006,Partial Breach (1 escaped, 9 captured)
34,Chess,stairs,61,10,0.380872,Partial Breach (2 escaped, 8 captured)
34,Chess,stairs,62,10,0.455491,Partial Breach (1 escaped, 9 captured)
34,Chess,stairs,63,10,0.366978,Partial Breach (1 escaped, 9 captured)
34,Chess,stairs,64,10,0.450766,Partial Breach (2 escaped, 8 captured)
34,Chess,stairs,65,10,0.41584,Partial Breach (1 escaped, 9 captured)
34,Chess,stairs,66,10,0.401275,Partial Breach (1 escaped, 9 captured)
34,Chess,stairs,67,10,0.360343,Partial Breach (2 escaped, 8 captured)
34,Chess,stairs,68,10,0.427107,Partial Breach (1 escaped, 9 captured)
34,Chess,stairs,69,10,0.407364,Partial Breach (2 escaped, 8 captured)
34,Chess,stairs,70,10,0.359468,Partial Breach (2 escaped, 8 captured)
34,Chess,stairs,71,10,0.465717,Partial Breach (2 escaped, 8 captured)
34,Chess,stairs,72,10,0.376903,Partial Breach (2 escaped, 8 captured)
34,Chess,stairs,73,10,0.406186,Partial Breach (2 escaped, 8 captured)
34,Chess,stairs,74,10,0.340627,Partial Breach (2 escaped, 8 captured)
34,Chess,random,75,10,0.375926,Partial Breach (1 escaped, 9 captured)
34,Chess,random,76,10,0.349914,Partial Breach (3 escaped, 7 captured)
34,Chess,random,77,10,0.316022,Partial Breach (1 escaped, 9 captured)
34,Chess,random,78,10,0.321385,Partial Breach (3 escaped, 7 captured)
34,Chess,random,79,10,0.319473,Partial Breach (2 escaped, 8 captured)
34,Chess,random,80,10,0.319788,Partial Breach (3 escaped, 7 captured)
34,Chess,random,81,10,0.38491,Pursuers Victory (All intercepted)
34,Chess,random,82,10,0.420125,Partial Breach (2 escaped, 8 captured)
34,Chess,random,83,10,0.396082,Partial Breach (1 escaped, 9 captured)
34,Chess,random,84,10,0.416757,Partial Breach (1 escaped, 9 captured)
34,Chess,random,85,10,0.39603,Partial Breach (3 escaped, 7 captured)
34,Chess,random,86,10,0.331432,Partial Breach (6 escaped, 4 captured)
34,Chess,random,87,10,0.381291,Partial Breach (1 escaped, 9 captured)
34,Chess,random,88,10,0.355596,Partial Breach (1 escaped, 9 captured)
34,Chess,random,89,10,0.41003,Partial Breach (1 escaped, 9 captured)
34,Chess,random,90,10,0.413295,Partial Breach (1 escaped, 9 captured)
34,Chess,random,91,10,0.391826,Partial Breach (1 escaped, 9 captured)
34,Chess,random,92,10,0.409428,Partial Breach (1 escaped, 9 captured)
34,Chess,random,93,10,0.381931,Pursuers Victory (All intercepted)
34,Chess,random,94,10,0.381848,Partial Breach (2 escaped, 8 captured)
34,Chess,random,95,10,0.416024,Partial Breach (1 escaped, 9 captured)
34,Chess,random,96,10,0.418094,Pursuers Victory (All intercepted)
34,Chess,random,97,10,0.337801,Partial Breach (2 escaped, 8 captured)
34,Chess,random,98,10,0.308061,Partial Breach (6 escaped, 4 captured)
34,Chess,random,99,10,0.384133,Partial Breach (1 escaped, 9 captured)
34,Arc,wedge,0,10,0.723092,Partial Breach (3 escaped, 7 captured)
34,Arc,wedge,1,10,0.532053,Partial Breach (2 escaped, 8 captured)
34,Arc,wedge,2,10,0.673851,Partial Breach (2 escaped, 8 captured)
34,Arc,wedge,3,10,0.57368,Partial Breach (2 escaped, 8 captured)
34,Arc,wedge,4,10,0.617759,Partial Breach (3 escaped, 7 captured)
34,Arc,wedge,5,10,0.499375,Partial Breach (2 escaped, 8 captured)
34,Arc,wedge,6,10,0.665769,Partial Breach (3 escaped, 7 captured)
34,Arc,wedge,7,10,0.482471,Partial Breach (2 escaped, 8 captured)
34,Arc,wedge,8,10,0.523935,Partial Breach (3 escaped, 7 captured)
