Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
13,Line,wedge,0,10,0.457594,Partial Breach (2 escaped, 8 captured)
13,Line,wedge,1,10,0.351219,Partial Breach (3 escaped, 7 captured)
13,Line,wedge,2,10,0.411537,Partial Breach (1 escaped, 9 captured)
13,Line,wedge,3,10,0.469074,Partial Breach (2 escaped, 8 captured)
13,Line,wedge,4,10,0.388401,Partial Breach (2 escaped, 8 captured)
13,Line,wedge,5,10,0.42774,Partial Breach (5 escaped, 5 captured)
13,Line,wedge,6,10,0.439543,Partial Breach (2 escaped, 8 captured)
13,Line,wedge,7,10,0.354213,Partial Breach (5 escaped, 5 captured)
13,Line,wedge,8,10,0.329654,Partial Breach (3 escaped, 7 captured)
13,Line,wedge,9,10,0.410499,Partial Breach (2 escaped, 8 captured)
13,Line,wedge,10,10,0.370065,Partial Breach (4 escaped, 6 captured)
13,Line,wedge,11,10,0.386961,Partial Breach (1 escaped, 9 captured)
13,Line,wedge,12,10,0.38499,Partial Breach (5 escaped, 5 captured)
13,Line,wedge,13,10,0.379464,Partial Breach (3 escaped, 7 captured)
13,Line,wedge,14,10,0.432691,Partial Breach (1 escaped, 9 captured)
13,Line,wedge,15,10,0.346033,Partial Breach (4 escaped, 6 captured)
13,Line,wedge,16,10,0.46232,Partial Breach (2 escaped, 8 captured)
13,Line,wedge,17,10,0.36554,Partial Breach (4 escaped, 6 captured)
13,Line,wedge,18,10,0.352502,Partial Breach (2 escaped, 8 captured)
13,Line,wedge,19,10,0.367265,Partial Breach (3 escaped, 7 captured)
13,Line,wedge,20,10,0.325806,Partial Breach (3 escaped, 7 captured)
13,Line,wedge,21,10,0.532904,Partial Breach (2 escaped, 8 captured)
13,Line,wedge,22,10,0.315467,Partial Breach (4 escaped, 6 captured)
13,Line,wedge,23,10,0.352713,Partial Breach (4 escaped, 6 captured)
13,Line,wedge,24,10,0.379309,Partial Breach (4 escaped, 6 captured)
13,Line,swarm,25,10,0.512816,Partial Breach (2 escaped, 8 captured)
13,Line,swarm,26,10,0.416172,Partial Breach (1 escaped, 9 captured)
13,Line,swarm,27,10,0.393276,Partial Breach (1 escaped, 9 captured)
13,Line,swarm,28,10,0.332418,Pursuers Victory (All intercepted)
13,Line,swarm,29,10,0.263073,Partial Breach (4 escaped, 6 captured)
13,Line,swarm,30,10,0.257848,Pursuers Victory (All intercepted)
13,Line,swarm,31,10,0.22406,Partial Breach (8 escaped, 2 captured)
13,Line,swarm,32,10,0.486833,Partial Breach (1 escaped, 9 captured)
13,Line,swarm,33,10,0.302657,Pursuers Victory (All intercepted)
13,Line,swarm,34,10,0.156369,Partial Breach (9 escaped, 1 captured)
13,Line,swarm,35,10,0.217651,Partial Breach (5 escaped, 5 captured)
13,Line,swarm,36,10,0.387087,Pursuers Victory (All intercepted)
13,Line,swarm,37,10,0.386735,Pursuers Victory (All intercepted)
13,Line,swarm,38,10,0.324374,Pursuers Victory (All intercepted)
13,Line,swarm,39,10,0.37229,Pursuers Victory (All intercepted)
13,Line,swarm,40,10,0.384215,Partial Breach (1 escaped, 9 captured)
13,Line,swarm,41,10,0.298874,Partial Breach (2 escaped, 8 captured)
13,Line,swarm,42,10,0.380135,Partial Breach (1 escaped, 9 captured)
13,Line,swarm,43,10,0.174397,Partial Breach (8 escaped, 2 captured)
13,Line,swarm,44,10,0.396982,Pursuers Victory (All intercepted)
13,Line,swarm,45,10,0.415863,Partial Breach (1 escaped, 9 captured)
13,Line,swarm,46,10,0.38849,Pursuers Victory (All intercepted)
13,Line,swarm,47,10,0.350735,Pursuers Victory (All intercepted)
13,Line,swarm,48,10,0.335531,Pursuers Victory (All intercepted)
13,Line,swarm,49,10,0.186098,Partial Breach (9 escaped, 1 captured)
13,Line,stairs,50,10,0.312023,Partial Breach (2 escaped, 8 captured)
13,Line,stairs,51,10,0.306972,Partial Breach (1 escaped, 9 captured)
13,Line,stairs,52,10,0.334121,Partial Breach (2 escaped, 8 captured)
13,Line,stairs,53,10,0.285738,Partial Breach (1 escaped, 9 captured)
13,Line,stairs,54,10,0.326382,Partial Breach (2 escaped, 8 captured)
