Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
23,Line,wedge,0,10,0.623992,Partial Breach (3 escaped, 7 captured)
23,Line,wedge,1,10,0.574956,Partial Breach (6 escaped, 4 captured)
23,Line,wedge,2,10,0.704434,Partial Breach (3 escaped, 7 captured)
23,Line,wedge,3,10,0.636782,Partial Breach (7 escaped, 3 captured)
23,Line,wedge,4,10,0.59518,Partial Breach (6 escaped, 4 captured)
23,Line,wedge,5,10,0.589406,Partial Breach (7 escaped, 3 captured)
23,Line,wedge,6,10,0.626189,Partial Breach (4 escaped, 6 captured)
23,Line,wedge,7,10,0.407908,Partial Breach (6 escaped, 4 captured)
23,Line,wedge,8,10,0.496515,Partial Breach (6 escaped, 4 captured)
23,Line,wedge,9,10,0.692499,Partial Breach (6 escaped, 4 captured)
23,Line,wedge,10,10,0.545948,Partial Breach (6 escaped, 4 captured)
23,Line,wedge,11,10,0.617881,Partial Breach (7 escaped, 3 captured)
23,Line,wedge,12,10,0.416646,Partial Breach (6 escaped, 4 captured)
23,Line,wedge,13,10,0.552669,Partial Breach (5 escaped, 5 captured)
23,Line,wedge,14,10,0.771235,Partial Breach (5 escaped, 5 captured)
23,Line,wedge,15,10,0.536297,Partial Breach (7 escaped, 3 captured)
23,Line,wedge,16,10,0.736687,Partial Breach (6 escaped, 4 captured)
23,Line,wedge,17,10,0.544203,Partial Breach (8 escaped, 2 captured)
23,Line,wedge,18,10,0.624408,Partial Breach (8 escaped, 2 captured)
23,Line,wedge,19,10,0.562731,Partial Breach (6 escaped, 4 captured)
23,Line,wedge,20,10,0.501282,Partial Breach (7 escaped, 3 captured)
23,Line,wedge,21,10,0.786938,Partial Breach (7 escaped, 3 captured)
23,Line,wedge,22,10,0.424191,Partial Breach (7 escaped, 3 captured)
23,Line,wedge,23,10,0.500369,Partial Breach (7 escaped, 3 captured)
23,Line,wedge,24,10,0.529509,Partial Breach (7 escaped, 3 captured)
23,Line,swarm,25,10,0.713006,Partial Breach (4 escaped, 6 captured)
23,Line,swarm,26,10,0.6744,Partial Breach (2 escaped, 8 captured)
23,Line,swarm,27,10,0.621827,Partial Breach (7 escaped, 3 captured)
23,Line,swarm,28,10,0.569111,Partial Breach (5 escaped, 5 captured)
23,Line,swarm,29,10,0.309292,Partial Breach (9 escaped, 1 captured)
23,Line,swarm,30,10,0.430058,Partial Breach (2 escaped, 8 captured)
23,Line,swarm,31,10,0.286436,Partial Breach (9 escaped, 1 captured)
23,Line,swarm,32,10,0.719349,Partial Breach (2 escaped, 8 captured)
23,Line,swarm,33,10,0.435108,Partial Breach (4 escaped, 6 captured)
23,Line,swarm,34,10,0.17887,Partial Breach (9 escaped, 1 captured)
23,Line,swarm,35,10,0.263642,Partial Breach (9 escaped, 1 captured)
23,Line,swarm,36,10,0.691435,Partial Breach (6 escaped, 4 captured)
23,Line,swarm,37,10,0.579704,Partial Breach (5 escaped, 5 captured)
23,Line,swarm,38,10,0.625431,Partial Breach (2 escaped, 8 captured)
23,Line,swarm,39,10,0.652376,Partial Breach (3 escaped, 7 captured)
23,Line,swarm,40,10,0.674933,Partial Breach (4 escaped, 6 captured)
23,Line,swarm,41,10,0.424555,Partial Breach (6 escaped, 4 captured)
23,Line,swarm,42,10,0.596115,Partial Breach (5 escaped, 5 captured)
23,Line,swarm,43,10,0.204527,Partial Breach (8 escaped, 2 captured)
23,Line,swarm,44,10,0.701846,Partial Breach (2 escaped, 8 captured)
23,Line,swarm,45,10,0.638476,Partial Breach (5 escaped, 5 captured)
23,Line,swarm,46,10,0.545966,Partial Breach (1 escaped, 9 captured)
23,Line,swarm,47,10,0.559743,Partial Breach (3 escaped, 7 captured)
23,Line,swarm,48,10,0.619013,Partial Breach (4 escaped, 6 captured)
23,Line,swarm,49,10,0.193177,Partial Breach (8 escaped, 2 captured)
23,Line,stairs,50,10,0.476524,Partial Breach (6 escaped, 4 captured)
23,Line,stairs,51,10,0.532735,Partial Breach (6 escaped, 4 captured)
23,Line,stairs,52,10,0.472312,Partial Breach (5 escaped, 5 captured)
23,Line,stairs,53,10,0.469151,Partial Breach (5 escaped, 5 captured)
23,Line,stairs,54,10,0.570425,Partial Breach (8 escaped, 2 captured)
23,Line,stairs,55,10,0.495809,Partial Breach (5 escaped, 5 captured)
23,Line,stairs,56,10,0.381688,Partial Breach (3 escaped, 7 captured)
23,Line,stairs,57,10,0.46233,Partial Breach (4 escaped, 6 captured)
23,Line,stairs,58,10,0.541769,Partial Breach (7 escaped, 3 captured)
23,Line,stairs,59,10,0.522616,Partial Breach (6 escaped, 4 captured)
23,Line,stairs,60,10,0.388996,Partial Breach (5 escaped, 5 captured)
23,Line,stairs,61,10,0.354586,Partial Breach (4 escaped, 6 captured)
23,Line,stairs,62,10,0.517503,Partial Breach (7 escaped, 3 captured)
23,Line,stairs,63,10,0.504889,Partial Breach (6 escaped, 4 captured)
23,Line,stairs,64,10,0.477942,Partial Breach (5 escaped, 5 captured)
23,Line,stairs,65,10,0.576749,Partial Breach (8 escaped, 2 captured)
23,Line,stairs,66,10,0.48757,Partial Breach (6 escaped, 4 captured)
23,Line,stairs,67,10,0.421961,Partial Breach (6 escaped, 4 captured)
23,Line,stairs,68,10,0.478145,Partial Breach (5 escaped, 5 captured)
23,Line,stairs,69,10,0.450881,Partial Breach (4 escaped, 6 captured)
23,Line,stairs,70,10,0.516432,Partial Breach (7 escaped, 3 captured)
23,Line,stairs,71,10,0.597521,Partial Breach (6 escaped, 4 captured)
23,Line,stairs,72,10,0.436373,Partial Breach (6 escaped, 4 captured)
23,Line,stairs,73,10,0.466632,Partial Breach (7 escaped, 3 captured)
23,Line,stairs,74,10,0.428636,Partial Breach (5 escaped, 5 captured)
23,Line,random,75,10,0.49257,Partial Breach (4 escaped, 6 captured)
23,Line,random,76,10,0.361749,Partial Breach (5 escaped, 5 captured)
23,Line,random,77,10,0.548116,Partial Breach (5 escaped, 5 captured)
23,Line,random,78,10,0.406045,Partial Breach (6 escaped, 4 captured)
23,Line,random,79,10,0.43991,Partial Breach (4 escaped, 6 captured)
23,Line,random,80,10,0.441451,Partial Breach (7 escaped, 3 captured)
23,Line,random,81,10,0.482622,Partial Breach (2 escaped, 8 captured)
23,Line,random,82,10,0.489168,Partial Breach (4 escaped, 6 captured)
23,Line,random,83,10,0.482092,Partial Breach (4 escaped, 6 captured)
23,Line,random,84,10,0.633334,Partial Breach (4 escaped, 6 captured)
23,Line,random,85,10,0.536206,Partial Breach (4 escaped, 6 captured)
23,Line,random,86,10,0.403112,Partial Breach (8 escaped, 2 captured)
23,Line,random,87,10,0.535564,Partial Breach (5 escaped, 5 captured)
23,Line,random,88,10,0.419525,Partial Breach (3 escaped, 7 captured)
23,Line,random,89,10,0.567291,Partial Breach (5 escaped, 5 captured)
23,Line,random,90,10,0.465934,Partial Breach (2 escaped, 8 captured)
23,Line,random,91,10,0.484452,Partial Breach (4 escaped, 6 captured)
23,Line,random,92,10,0.486776,Partial Breach (6 escaped, 4 captured)
23,Line,random,93,10,0.487004,Partial Breach (4 escaped, 6 captured)
23,Line,random,94,10,0.470209,Partial Breach (4 escaped, 6 captured)
23,Line,random,95,10,0.570904,Partial Breach (5 escaped, 5 captured)
23,Line,random,96,10,0.63671,Partial Breach (6 escaped, 4 captured)
23,Line,random,97,10,0.490596,Partial Breach (6 escaped, 4 captured)
23,Line,random,98,10,0.404363,Partial Breach (8 escaped, 2 captured)
23,Line,random,99,10,0.412948,Partial Breach (3 escaped, 7 captured)
23,Chess,wedge,0,10,0.645161,Partial Breach (4 escaped, 6 captured)
23,Chess,wedge,1,10,0.615018,Partial Breach (7 escaped, 3 captured)
23,Chess,wedge,2,10,0.732008,Partial Breach (6 escaped, 4 captured)
23,Chess,wedge,3,10,0.595206,Partial Breach (4 escaped, 6 captured)
23,Chess,wedge,4,10,0.613475,Partial Breach (8 escaped, 2 captured)
23,Chess,wedge,5,10,0.563981,Partial Breach (7 escaped, 3 captured)
23,Chess,wedge,6,10,0.641484,Partial Breach (5 escaped, 5 captured)
23,Chess,wedge,7,10,0.459378,Partial Breach (7 escaped, 3 captured)
23,Chess,wedge,8,10,0.529502,Partial Breach (7 escaped, 3 captured)
23,Chess,wedge,9,10,0.564011,Partial Breach (6 escaped, 4 captured)
23,Chess,wedge,10,10,0.487317,Partial Breach (6 escaped, 4 captured)
23,Chess,wedge,11,10,0.607927,Partial Breach (7 escaped, 3 captured)
23,Chess,wedge,12,10,0.436802,Partial Breach (7 escaped, 3 captured)
23,Chess,wedge,13,10,0.583315,Partial Breach (7 escaped, 3 captured)
23,Chess,wedge,14,10,0.715011,Partial Breach (6 escaped, 4 captured)
23,Chess,wedge,15,10,0.499128,Partial Breach (6 escaped, 4 captured)
23,Chess,wedge,16,10,0.716891,Partial Breach (6 escaped, 4 captured)
23,Chess,wedge,17,10,0.505248,Partial Breach (7 escaped, 3 captured)
23,Chess,wedge,18,10,0.587698,Partial Breach (6 escaped, 4 captured)
23,Chess,wedge,19,10,0.64314,Partial Breach (8 escaped, 2 captured)
23,Chess,wedge,20,10,0.443284,Partial Breach (5 escaped, 5 captured)
23,Chess,wedge,21,10,0.721482,Partial Breach (5 escaped, 5 captured)
23,Chess,wedge,22,10,0.437265,Partial Breach (8 escaped, 2 captured)
23,Chess,wedge,23,10,0.522191,Partial Breach (8 escaped, 2 captured)
23,Chess,wedge,24,10,0.476565,Partial Breach (5 escaped, 5 captured)
23,Chess,swarm,25,10,0.631151,Pursuers Victory (All intercepted)
23,Chess,swarm,26,10,0.680531,Partial Breach (5 escaped, 5 captured)
23,Chess,swarm,27,10,0.585919,Partial Breach (3 escaped, 7 captured)
23,Chess,swarm,28,10,0.590592,Partial Breach (4 escaped, 6 captured)
23,Chess,swarm,29,10,0.339383,Partial Breach (9 escaped, 1 captured)
23,Chess,swarm,30,10,0.408552,Partial Breach (3 escaped, 7 captured)
23,Chess,swarm,31,10,0.290385,Partial Breach (9 escaped, 1 captured)
23,Chess,swarm,32,10,0.64631,Partial Breach (1 escaped, 9 captured)
23,Chess,swarm,33,10,0.431958,Partial Breach (3 escaped, 7 captured)
23,Chess,swarm,34,10,0.164088,Partial Breach (8 escaped, 2 captured)
23,Chess,swarm,35,10,0.285987,Partial Breach (9 escaped, 1 captured)
23,Chess,swarm,36,10,0.664802,Partial Breach (4 escaped, 6 captured)
23,Chess,swarm,37,10,0.663358,Partial Breach (4 escaped, 6 captured)
23,Chess,swarm,38,10,0.623999,Partial Breach (2 escaped, 8 captured)
23,Chess,swarm,39,10,0.726795,Partial Breach (4 escaped, 6 captured)
23,Chess,swarm,40,10,0.591405,Partial Breach (3 escaped, 7 captured)
23,Chess,swarm,41,10,0.430401,Partial Breach (8 escaped, 2 captured)
23,Chess,swarm,42,10,0.590759,Partial Breach (6 escaped, 4 captured)
23,Chess,swarm,43,10,0.235021,Partial Breach (9 escaped, 1 captured)
23,Chess,swarm,44,10,0.695624,Partial Breach (3 escaped, 7 captured)
23,Chess,swarm,45,10,0.663476,Partial Breach (4 escaped, 6 captured)
23,Chess,swarm,46,10,0.653237,Partial Breach (5 escaped, 5 captured)
23,Chess,swarm,47,10,0.583039,Partial Breach (4 escaped, 6 captured)
23,Chess,swarm,48,10,0.579825,Partial Breach (3 escaped, 7 captured)
23,Chess,swarm,49,10,0.193529,Partial Breach (9 escaped, 1 captured)
23,Chess,stairs,50,10,0.571413,Partial Breach (5 escaped, 5 captured)
23,Chess,stairs,51,10,0.532232,Partial Breach (6 escaped, 4 captured)
23,Chess,stairs,52,10,0.57676,Partial Breach (8 escaped, 2 captured)
23,Chess,stairs,53,10,0.415568,Partial Breach (5 escaped, 5 captured)
23,Chess,stairs,54,10,0.511905,Partial Breach (6 escaped, 4 captured)
23,Chess,stairs,55,10,0.418771,Partial Breach (5 escaped, 5 captured)
23,Chess,stairs,56,10,0.50023,Partial Breach (5 escaped, 5 captured)
23,Chess,stairs,57,10,0.533089,Partial Breach (6 escaped, 4 captured)
23,Chess,stairs,58,10,0.578139,Partial Breach (7 escaped, 3 captured)
23,Chess,stairs,59,10,0.43605,Partial Breach (5 escaped, 5 captured)
23,Chess,stairs,60,10,0.422055,Partial Breach (6 escaped, 4 captured)
23,Chess,stairs,61,10,0.504892,Partial Breach (8 escaped, 2 captured)
23,Chess,stairs,62,10,0.427301,Partial Breach (4 escaped, 6 captured)
23,Chess,stairs,63,10,0.542139,Partial Breach (7 escaped, 3 captured)
23,Chess,stairs,64,10,0.529741,Partial Breach (6 escaped, 4 captured)
23,Chess,stairs,65,10,0.529965,Partial Breach (6 escaped, 4 captured)
23,Chess,stairs,66,10,0.433514,Partial Breach (5 escaped, 5 captured)
23,Chess,stairs,67,10,0.428425,Partial Breach (5 escaped, 5 captured)
23,Chess,stairs,68,10,0.558508,Partial Breach (6 escaped, 4 captured)
23,Chess,stairs,69,10,0.400183,Partial Breach (4 escaped, 6 captured)
23,Chess,stairs,70,10,0.459087,Partial Breach (5 escaped, 5 captured)
23,Chess,stairs,71,10,0.525006,Partial Breach (5 escaped, 5 captured)
23,Chess,stairs,72,10,0.461855,Partial Breach (6 escaped, 4 captured)
23,Chess,stairs,73,10,0.44763,Partial Breach (7 escaped, 3 captured)
23,Chess,stairs,74,10,0.436493,Partial Breach (5 escaped, 5 captured)
23,Chess,random,75,10,0.51961,Partial Breach (6 escaped, 4 captured)
23,Chess,random,76,10,0.33515,Partial Breach (6 escaped, 4 captured)
23,Chess,random,77,10,0.491353,Partial Breach (4 escaped, 6 captured)
23,Chess,random,78,10,0.336304,Partial Breach (6 escaped, 4 captured)
23,Chess,random,79,10,0.370348,Partial Breach (4 escaped, 6 captured)
23,Chess,random,80,10,0.389907,Partial Breach (6 escaped, 4 captured)
23,Chess,random,81,10,0.515609,Partial Breach (2 escaped, 8 captured)
23,Chess,random,82,10,0.507462,Partial Breach (4 escaped, 6 captured)
23,Chess,random,83,10,0.559823,Partial Breach (4 escaped, 6 captured)
23,Chess,random,84,10,0.553211,Partial Breach (3 escaped, 7 captured)
23,Chess,random,85,10,0.477278,Partial Breach (4 escaped, 6 captured)
23,Chess,random,86,10,0.377381,Partial Breach (8 escaped, 2 captured)
23,Chess,random,87,10,0.441315,Partial Breach (3 escaped, 7 captured)
23,Chess,random,88,10,0.469141,Partial Breach (3 escaped, 7 captured)
23,Chess,random,89,10,0.493453,Partial Breach (3 escaped, 7 captured)
23,Chess,random,90,10,0.487974,Partial Breach (5 escaped, 5 captured)
23,Chess,random,91,10,0.468037,Partial Breach (5 escaped, 5 captured)
23,Chess,random,92,10,0.542645,Partial Breach (5 escaped, 5 captured)
23,Chess,random,93,10,0.386476,Partial Breach (3 escaped, 7 captured)
23,Chess,random,94,10,0.512567,Partial Breach (4 escaped, 6 captured)
23,Chess,random,95,10,0.609606,Partial Breach (7 escaped, 3 captured)
23,Chess,random,96,10,0.535256,Partial Breach (6 escaped, 4 captured)
23,Chess,random,97,10,0.43514,Partial Breach (5 escaped, 5 captured)
23,Chess,random,98,10,0.356268,Partial Breach (8 escaped, 2 captured)
23,Chess,random,99,10,0.476046,Partial Breach (3 escaped, 7 captured)
23,Arc,wedge,0,10,0.737572,Partial Breach (7 escaped, 3 captured)
23,Arc,wedge,1,10,0.58342,Partial Breach (6 escaped, 4 captured)
23,Arc,wedge,2,10,0.728363,Partial Breach (6 escaped, 4 captured)
23,Arc,wedge,3,10,0.632133,Partial Breach (7 escaped, 3 captured)
23,Arc,wedge,4,10,0.599838,Partial Breach (8 escaped, 2 captured)
23,Arc,wedge,5,10,0.565445,Partial Breach (9 escaped, 1 captured)
23,Arc,wedge,6,10,0.615108,Partial Breach (5 escaped, 5 captured)
23,Arc,wedge,7,10,0.49808,Partial Breach (7 escaped, 3 captured)
23,Arc,wedge,8,10,0.461962,Partial Breach (5 escaped, 5 captured)
23,Arc,wedge,9,10,0.518822,Partial Breach (3 escaped, 7 captured)
23,Arc,wedge,10,10,0.538515,Partial Breach (5 escaped, 5 captured)
23,Arc,wedge,11,10,0.568526,Partial Breach (6 escaped, 4 captured)
23,Arc,wedge,12,10,0.482443,Partial Breach (7 escaped, 3 captured)
23,Arc,wedge,13,10,0.581455,Partial Breach (8 escaped, 2 captured)
23,Arc,wedge,14,10,0.654918,Partial Breach (4 escaped, 6 captured)
23,Arc,wedge,15,10,0.55174,Partial Breach (5 escaped, 5 captured)
23,Arc,wedge,16,10,0.67986,Partial Breach (6 escaped, 4 captured)
23,Arc,wedge,17,10,0.520661,Partial Breach (8 escaped, 2 captured)
23,Arc,wedge,18,10,0.577761,Partial Breach (7 escaped, 3 captured)
23,Arc,wedge,19,10,0.632744,Partial Breach (8 escaped, 2 captured)
23,Arc,wedge,20,10,0.507215,Partial Breach (4 escaped, 6 captured)
23,Arc,wedge,21,10,0.83093,Partial Breach (8 escaped, 2 captured)
23,Arc,wedge,22,10,0.411836,Partial Breach (8 escaped, 2 captured)
23,Arc,wedge,23,10,0.55877,Partial Breach (5 escaped, 5 captured)
23,Arc,wedge,24,10,0.529506,Partial Breach (5 escaped, 5 captured)
23,Arc,swarm,25,10,0.776561,Partial Breach (4 escaped, 6 captured)
23,Arc,swarm,26,10,0.699666,Partial Breach (4 escaped, 6 captured)
23,Arc,swarm,27,10,0.648466,Partial Breach (6 escaped, 4 captured)
23,Arc,swarm,28,10,0.606082,Partial Breach (5 escaped, 5 captured)
23,Arc,swarm,29,10,0.317212,Partial Breach (8 escaped, 2 captured)
23,Arc,swarm,30,10,0.474381,Partial Breach (9 escaped, 1 captured)
23,Arc,swarm,31,10,0.280315,Partial Breach (8 escaped, 2 captured)
