Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
44,Line,wedge,0,10,2.7747,Escapers Victory (All 10 breached)
44,Line,wedge,1,10,1.91064,Escapers Victory (All 10 breached)
44,Line,wedge,2,10,2.33249,Escapers Victory (All 10 breached)
44,Line,wedge,3,10,2.14326,Escapers Victory (All 10 breached)
44,Line,wedge,4,10,1.81812,Partial Breach (8 escaped, 2 captured)
44,Line,wedge,5,10,1.83451,Escapers Victory (All 10 breached)
44,Line,wedge,6,10,2.31009,Escapers Victory (All 10 breached)
44,Line,wedge,7,10,1.48968,Escapers Victory (All 10 breached)
44,Line,wedge,8,10,1.63689,Escapers Victory (All 10 breached)
44,Line,wedge,9,10,2.10806,Partial Breach (9 escaped, 1 captured)
44,Line,wedge,10,10,1.80714,Escapers Victory (All 10 breached)
44,Line,wedge,11,10,1.98053,Escapers Victory (All 10 breached)
44,Line,wedge,12,10,1.51727,Escapers Victory (All 10 breached)
44,Line,wedge,13,10,1.95934,Escapers Victory (All 10 breached)
44,Line,wedge,14,10,2.47979,Escapers Victory (All 10 breached)
44,Line,wedge,15,10,1.65677,Escapers Victory (All 10 breached)
44,Line,wedge,16,10,2.29851,Escapers Victory (All 10 breached)
44,Line,wedge,17,10,2.0007,Escapers Victory (All 10 breached)
44,Line,wedge,18,10,1.94288,Escapers Victory (All 10 breached)
44,Line,wedge,19,10,2.03103,Escapers Victory (All 10 breached)
44,Line,wedge,20,10,1.63787,Escapers Victory (All 10 breached)
44,Line,wedge,21,10,2.57682,Escapers Victory (All 10 breached)
44,Line,wedge,22,10,1.24234,Escapers Victory (All 10 breached)
44,Line,wedge,23,10,1.6512,Escapers Victory (All 10 breached)
44,Line,wedge,24,10,1.79577,Escapers Victory (All 10 breached)
44,Line,swarm,25,10,2.72883,Escapers Victory (All 10 breached)
44,Line,swarm,26,10,2.48527,Escapers Victory (All 10 breached)
44,Line,swarm,27,10,1.9526,Escapers Victory (All 10 breached)
44,Line,swarm,28,10,1.98782,Escapers Victory (All 10 breached)
44,Line,swarm,29,10,1.04169,Escapers Victory (All 10 breached)
44,Line,swarm,30,10,1.46265,Escapers Victory (All 10 breached)
44,Line,swarm,31,10,0.910972,Escapers Victory (All 10 breached)
44,Line,swarm,32,10,2.74963,Escapers Victory (All 10 breached)
44,Line,swarm,33,10,1.56572,Escapers Victory (All 10 breached)
44,Line,swarm,34,10,0.562102,Escapers Victory (All 10 breached)
44,Line,swarm,35,10,1.41141,Escapers Victory (All 10 breached)
44,Line,swarm,36,10,2.60696,Escapers Victory (All 10 breached)
44,Line,swarm,37,10,2.35648,Escapers Victory (All 10 breached)
44,Line,swarm,38,10,2.16761,Escapers Victory (All 10 breached)
44,Line,swarm,39,10,2.61284,Escapers Victory (All 10 breached)
44,Line,swarm,40,10,2.56284,Partial Breach (9 escaped, 1 captured)
44,Line,swarm,41,10,1.49609,Escapers Victory (All 10 breached)
44,Line,swarm,42,10,2.10921,Escapers Victory (All 10 breached)
44,Line,swarm,43,10,0.724641,Escapers Victory (All 10 breached)
44,Line,swarm,44,10,2.72161,Escapers Victory (All 10 breached)
44,Line,swarm,45,10,2.46475,Escapers Victory (All 10 breached)
44,Line,swarm,46,10,2.32158,Escapers Victory (All 10 breached)
44,Line,swarm,47,10,2.3438,Escapers Victory (All 10 breached)
44,Line,swarm,48,10,2.40415,Escapers Victory (All 10 breached)
44,Line,swarm,49,10,0.757773,Escapers Victory (All 10 breached)
44,Line,stairs,50,10,1.86663,Partial Breach (7 escaped, 3 captured)
44,Line,stairs,51,10,2.21812,Partial Breach (7 escaped, 3 captured)
44,Line,stairs,52,10,1.92921,Partial Breach (9 escaped, 1 captured)
44,Line,stairs,53,10,1.58212,Partial Breach (7 escaped, 3 captured)
44,Line,stairs,54,10,1.8884,Partial Breach (7 escaped, 3 captured)
44,Line,stairs,55,10,1.56278,Partial Breach (7 escaped, 3 captured)
44,Line,stairs,56,10,1.5948,Partial Breach (6 escaped, 4 captured)
44,Line,stairs,57,10,1.86625,Partial Breach (8 escaped, 2 captured)
44,Line,stairs,58,10,1.62885,Partial Breach (7 escaped, 3 captured)
44,Line,stairs,59,10,1.54203,Partial Breach (7 escaped, 3 captured)
44,Line,stairs,60,10,1.38051,Partial Breach (4 escaped, 6 captured)
44,Line,stairs,61,10,1.22123,Partial Breach (4 escaped, 6 captured)
44,Line,stairs,62,10,1.64937,Partial Breach (6 escaped, 4 captured)
44,Line,stairs,63,10,1.44656,Partial Breach (6 escaped, 4 captured)
44,Line,stairs,64,10,1.57529,Partial Breach (6 escaped, 4 captured)
44,Line,stairs,65,10,1.6983,Partial Breach (8 escaped, 2 captured)
44,Line,stairs,66,10,1.41644,Partial Breach (5 escaped, 5 captured)
44,Line,stairs,67,10,1.3172,Partial Breach (4 escaped, 6 captured)
44,Line,stairs,68,10,1.86429,Partial Breach (8 escaped, 2 captured)
44,Line,stairs,69,10,1.38827,Partial Breach (5 escaped, 5 captured)
44,Line,stairs,70,10,1.2827,Partial Breach (5 escaped, 5 captured)
44,Line,stairs,71,10,2.12415,Partial Breach (8 escaped, 2 captured)
44,Line,stairs,72,10,1.34323,Partial Breach (4 escaped, 6 captured)
44,Line,stairs,73,10,1.30496,Partial Breach (4 escaped, 6 captured)
44,Line,stairs,74,10,1.15276,Partial Breach (4 escaped, 6 captured)
