Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
46,Line,wedge,0,10,2.47417,Escapers Victory (All 10 breached)
46,Line,wedge,1,10,2.05791,Escapers Victory (All 10 breached)
46,Line,wedge,2,10,2.66855,Escapers Victory (All 10 breached)
46,Line,wedge,3,10,2.25611,Escapers Victory (All 10 breached)
46,Line,wedge,4,10,2.20999,Escapers Victory (All 10 breached)
46,Line,wedge,5,10,1.91843,Escapers Victory (All 10 breached)
46,Line,wedge,6,10,2.38117,Escapers Victory (All 10 breached)
46,Line,wedge,7,10,1.59984,Escapers Victory (All 10 breached)
46,Line,wedge,8,10,1.71923,Escapers Victory (All 10 breached)
46,Line,wedge,9,10,2.52578,Escapers Victory (All 10 breached)
46,Line,wedge,10,10,2.02125,Escapers Victory (All 10 breached)
46,Line,wedge,11,10,2.0782,Partial Breach (9 escaped, 1 captured)
46,Line,wedge,12,10,1.71819,Escapers Victory (All 10 breached)
46,Line,wedge,13,10,2.04455,Escapers Victory (All 10 breached)
46,Line,wedge,14,10,2.71004,Escapers Victory (All 10 breached)
46,Line,wedge,15,10,1.90751,Escapers Victory (All 10 breached)
46,Line,wedge,16,10,2.51332,Escapers Victory (All 10 breached)
46,Line,wedge,17,10,1.91635,Escapers Victory (All 10 breached)
46,Line,wedge,18,10,2.20687,Escapers Victory (All 10 breached)
46,Line,wedge,19,10,2.26478,Escapers Victory (All 10 breached)
46,Line,wedge,20,10,1.79483,Escapers Victory (All 10 breached)
46,Line,wedge,21,10,3.3335,Escapers Victory (All 10 breached)
46,Line,wedge,22,10,1.43154,Escapers Victory (All 10 breached)
46,Line,wedge,23,10,1.79814,Escapers Victory (All 10 breached)
46,Line,wedge,24,10,1.94679,Escapers Victory (All 10 breached)
46,Line,swarm,25,10,2.91819,Escapers Victory (All 10 breached)
46,Line,swarm,26,10,2.56893,Escapers Victory (All 10 breached)
46,Line,swarm,27,10,2.23843,Escapers Victory (All 10 breached)
46,Line,swarm,28,10,2.34929,Escapers Victory (All 10 breached)
46,Line,swarm,29,10,1.14614,Escapers Victory (All 10 breached)
46,Line,swarm,30,10,1.61108,Escapers Victory (All 10 breached)
46,Line,swarm,31,10,1.06099,Escapers Victory (All 10 breached)
46,Line,swarm,32,10,2.85653,Escapers Victory (All 10 breached)
46,Line,swarm,33,10,1.5802,Escapers Victory (All 10 breached)
46,Line,swarm,34,10,0.583962,Escapers Victory (All 10 breached)
46,Line,swarm,35,10,0.877545,Escapers Victory (All 10 breached)
46,Line,swarm,36,10,2.44622,Escapers Victory (All 10 breached)
46,Line,swarm,37,10,2.42953,Escapers Victory (All 10 breached)
46,Line,swarm,38,10,2.48823,Escapers Victory (All 10 breached)
46,Line,swarm,39,10,2.84635,Escapers Victory (All 10 breached)
46,Line,swarm,40,10,2.92273,Escapers Victory (All 10 breached)
46,Line,swarm,41,10,1.5629,Escapers Victory (All 10 breached)
46,Line,swarm,42,10,2.21374,Escapers Victory (All 10 breached)
46,Line,swarm,43,10,0.92363,Escapers Victory (All 10 breached)
46,Line,swarm,44,10,2.62576,Escapers Victory (All 10 breached)
46,Line,swarm,45,10,2.44543,Escapers Victory (All 10 breached)
46,Line,swarm,46,10,2.54352,Escapers Victory (All 10 breached)
46,Line,swarm,47,10,2.28804,Escapers Victory (All 10 breached)
46,Line,swarm,48,10,2.722,Escapers Victory (All 10 breached)
46,Line,swarm,49,10,0.770588,Escapers Victory (All 10 breached)
46,Line,stairs,50,10,2.15208,Partial Breach (9 escaped, 1 captured)
46,Line,stairs,51,10,2.14893,Partial Breach (9 escaped, 1 captured)
46,Line,stairs,52,10,2.12071,Escapers Victory (All 10 breached)
46,Line,stairs,53,10,1.97547,Partial Breach (8 escaped, 2 captured)
46,Line,stairs,54,10,2.06032,Escapers Victory (All 10 breached)
46,Line,stairs,55,10,1.90719,Partial Breach (9 escaped, 1 captured)
46,Line,stairs,56,10,1.99309,Partial Breach (9 escaped, 1 captured)
46,Line,stairs,57,10,2.07369,Partial Breach (9 escaped, 1 captured)
46,Line,stairs,58,10,2.13003,Escapers Victory (All 10 breached)
46,Line,stairs,59,10,1.97018,Partial Breach (9 escaped, 1 captured)
46,Line,stairs,60,10,1.80496,Partial Breach (8 escaped, 2 captured)
46,Line,stairs,61,10,1.59451,Partial Breach (8 escaped, 2 captured)
46,Line,stairs,62,10,2.12701,Partial Breach (9 escaped, 1 captured)
46,Line,stairs,63,10,1.94278,Partial Breach (9 escaped, 1 captured)
46,Line,stairs,64,10,1.88623,Partial Breach (9 escaped, 1 captured)
46,Line,stairs,65,10,2.06441,Partial Breach (9 escaped, 1 captured)
46,Line,stairs,66,10,2.19359,Partial Breach (8 escaped, 2 captured)
46,Line,stairs,67,10,1.87114,Partial Breach (8 escaped, 2 captured)
46,Line,stairs,68,10,2.17115,Escapers Victory (All 10 breached)
46,Line,stairs,69,10,1.90728,Partial Breach (8 escaped, 2 captured)
46,Line,stairs,70,10,2.02323,Partial Breach (8 escaped, 2 captured)
46,Line,stairs,71,10,2.25256,Escapers Victory (All 10 breached)
46,Line,stairs,72,10,1.9692,Partial Breach (8 escaped, 2 captured)
46,Line,stairs,73,10,1.81604,Partial Breach (8 escaped, 2 captured)
46,Line,stairs,74,10,1.57909,Partial Breach (6 escaped, 4 captured)
46,Line,random,75,10,1.49974,Partial Breach (7 escaped, 3 captured)
46,Line,random,76,10,0.891807,Partial Breach (6 escaped, 4 captured)
46,Line,random,77,10,2.12142,Escapers Victory (All 10 breached)
46,Line,random,78,10,1.25191,Partial Breach (7 escaped, 3 captured)
46,Line,random,79,10,1.7196,Partial Breach (8 escaped, 2 captured)
46,Line,random,80,10,1.5137,Partial Breach (8 escaped, 2 captured)
46,Line,random,81,10,1.95627,Partial Breach (9 escaped, 1 captured)
46,Line,random,82,10,2.05323,Partial Breach (7 escaped, 3 captured)
46,Line,random,83,10,2.19408,Partial Breach (9 escaped, 1 captured)
46,Line,random,84,10,2.68001,Partial Breach (9 escaped, 1 captured)
46,Line,random,85,10,2.20813,Partial Breach (7 escaped, 3 captured)
46,Line,random,86,10,1.07068,Partial Breach (7 escaped, 3 captured)
46,Line,random,87,10,2.03756,Partial Breach (8 escaped, 2 captured)
46,Line,random,88,10,1.74221,Partial Breach (7 escaped, 3 captured)
46,Line,random,89,10,2.12489,Partial Breach (9 escaped, 1 captured)
46,Line,random,90,10,2.19753,Partial Breach (8 escaped, 2 captured)
46,Line,random,91,10,1.37769,Partial Breach (7 escaped, 3 captured)
46,Line,random,92,10,1.59592,Partial Breach (7 escaped, 3 captured)
46,Line,random,93,10,1.86171,Partial Breach (8 escaped, 2 captured)
46,Line,random,94,10,1.62051,Partial Breach (9 escaped, 1 captured)
46,Line,random,95,10,1.86507,Partial Breach (7 escaped, 3 captured)
46,Line,random,96,10,2.31448,Escapers Victory (All 10 breached)
46,Line,random,97,10,1.82021,Partial Breach (7 escaped, 3 captured)
46,Line,random,98,10,1.11827,Partial Breach (7 escaped, 3 captured)
46,Line,random,99,10,1.78073,Partial Breach (7 escaped, 3 captured)
46,Chess,wedge,0,10,2.59989,Escapers Victory (All 10 breached)
46,Chess,wedge,1,10,2.09411,Escapers Victory (All 10 breached)
46,Chess,wedge,2,10,2.57762,Escapers Victory (All 10 breached)
46,Chess,wedge,3,10,2.22885,Escapers Victory (All 10 breached)
46,Chess,wedge,4,10,2.20232,Escapers Victory (All 10 breached)
46,Chess,wedge,5,10,1.93483,Escapers Victory (All 10 breached)
46,Chess,wedge,6,10,2.46229,Escapers Victory (All 10 breached)
46,Chess,wedge,7,10,1.60433,Escapers Victory (All 10 breached)
46,Chess,wedge,8,10,1.7943,Escapers Victory (All 10 breached)
46,Chess,wedge,9,10,2.39876,Escapers Victory (All 10 breached)
46,Chess,wedge,10,10,1.95964,Escapers Victory (All 10 breached)
46,Chess,wedge,11,10,2.06258,Escapers Victory (All 10 breached)
46,Chess,wedge,12,10,1.56127,Escapers Victory (All 10 breached)
46,Chess,wedge,13,10,2.05124,Escapers Victory (All 10 breached)
46,Chess,wedge,14,10,2.55345,Escapers Victory (All 10 breached)
46,Chess,wedge,15,10,1.92464,Escapers Victory (All 10 breached)
46,Chess,wedge,16,10,2.67783,Escapers Victory (All 10 breached)
46,Chess,wedge,17,10,1.81177,Escapers Victory (All 10 breached)
46,Chess,wedge,18,10,2.18296,Escapers Victory (All 10 breached)
46,Chess,wedge,19,10,2.09065,Escapers Victory (All 10 breached)
46,Chess,wedge,20,10,1.68669,Escapers Victory (All 10 breached)
46,Chess,wedge,21,10,2.70229,Escapers Victory (All 10 breached)
46,Chess,wedge,22,10,1.38815,Escapers Victory (All 10 breached)
46,Chess,wedge,23,10,1.80642,Escapers Victory (All 10 breached)
46,Chess,wedge,24,10,1.87545,Escapers Victory (All 10 breached)
46,Chess,swarm,25,10,2.95176,Escapers Victory (All 10 breached)
46,Chess,swarm,26,10,2.5174,Escapers Victory (All 10 breached)
46,Chess,swarm,27,10,2.14692,Escapers Victory (All 10 breached)
46,Chess,swarm,28,10,2.2328,Escapers Victory (All 10 breached)
46,Chess,swarm,29,10,1.10525,Escapers Victory (All 10 breached)
46,Chess,swarm,30,10,1.52863,Escapers Victory (All 10 breached)
46,Chess,swarm,31,10,1.04816,Escapers Victory (All 10 breached)
46,Chess,swarm,32,10,2.92176,Escapers Victory (All 10 breached)
46,Chess,swarm,33,10,1.48666,Escapers Victory (All 10 breached)
46,Chess,swarm,34,10,0.693132,Escapers Victory (All 10 breached)
46,Chess,swarm,35,10,0.901065,Escapers Victory (All 10 breached)
46,Chess,swarm,36,10,2.59662,Escapers Victory (All 10 breached)
46,Chess,swarm,37,10,2.58902,Escapers Victory (All 10 breached)
46,Chess,swarm,38,10,2.44352,Escapers Victory (All 10 breached)
46,Chess,swarm,39,10,2.86392,Escapers Victory (All 10 breached)
46,Chess,swarm,40,10,2.65969,Escapers Victory (All 10 breached)
46,Chess,swarm,41,10,1.53809,Escapers Victory (All 10 breached)
46,Chess,swarm,42,10,2.26712,Escapers Victory (All 10 breached)
46,Chess,swarm,43,10,0.778017,Escapers Victory (All 10 breached)
46,Chess,swarm,44,10,2.75884,Escapers Victory (All 10 breached)
46,Chess,swarm,45,10,2.49586,Escapers Victory (All 10 breached)
46,Chess,swarm,46,10,2.38931,Escapers Victory (All 10 breached)
46,Chess,swarm,47,10,2.2965,Partial Breach (9 escaped, 1 captured)
46,Chess,swarm,48,10,2.31593,Escapers Victory (All 10 breached)
46,Chess,swarm,49,10,0.738934,Escapers Victory (All 10 breached)
46,Chess,stairs,50,10,2.22417,Escapers Victory (All 10 breached)
46,Chess,stairs,51,10,2.03817,Partial Breach (8 escaped, 2 captured)
46,Chess,stairs,52,10,2.26549,Escapers Victory (All 10 breached)
46,Chess,stairs,53,10,2.06677,Partial Breach (8 escaped, 2 captured)
46,Chess,stairs,54,10,2.10671,Escapers Victory (All 10 breached)
46,Chess,stairs,55,10,1.9075,Partial Breach (9 escaped, 1 captured)
46,Chess,stairs,56,10,1.85736,Partial Breach (8 escaped, 2 captured)
46,Chess,stairs,57,10,2.01674,Partial Breach (9 escaped, 1 captured)
46,Chess,stairs,58,10,2.11248,Partial Breach (9 escaped, 1 captured)
46,Chess,stairs,59,10,1.94271,Partial Breach (8 escaped, 2 captured)
46,Chess,stairs,60,10,1.61864,Partial Breach (7 escaped, 3 captured)
46,Chess,stairs,61,10,1.78324,Partial Breach (8 escaped, 2 captured)
46,Chess,stairs,62,10,2.04377,Partial Breach (8 escaped, 2 captured)
46,Chess,stairs,63,10,1.88519,Partial Breach (8 escaped, 2 captured)
46,Chess,stairs,64,10,1.95067,Partial Breach (9 escaped, 1 captured)
46,Chess,stairs,65,10,2.22119,Escapers Victory (All 10 breached)
46,Chess,stairs,66,10,2.08311,Partial Breach (8 escaped, 2 captured)
46,Chess,stairs,67,10,1.80233,Partial Breach (8 escaped, 2 captured)
46,Chess,stairs,68,10,2.10619,Escapers Victory (All 10 breached)
46,Chess,stairs,69,10,1.92941,Partial Breach (8 escaped, 2 captured)
46,Chess,stairs,70,10,1.86685,Partial Breach (9 escaped, 1 captured)
46,Chess,stairs,71,10,2.17561,Partial Breach (9 escaped, 1 captured)
46,Chess,stairs,72,10,1.86679,Partial Breach (8 escaped, 2 captured)
46,Chess,stairs,73,10,1.73507,Partial Breach (8 escaped, 2 captured)
46,Chess,stairs,74,10,1.68504,Partial Breach (8 escaped, 2 captured)
46,Chess,random,75,10,1.66538,Partial Breach (7 escaped, 3 captured)
46,Chess,random,76,10,1.01722,Partial Breach (6 escaped, 4 captured)
46,Chess,random,77,10,2.04919,Escapers Victory (All 10 breached)
46,Chess,random,78,10,1.21725,Partial Breach (7 escaped, 3 captured)
46,Chess,random,79,10,1.78178,Partial Breach (8 escaped, 2 captured)
46,Chess,random,80,10,1.27492,Partial Breach (8 escaped, 2 captured)
46,Chess,random,81,10,2.1049,Partial Breach (9 escaped, 1 captured)
46,Chess,random,82,10,1.97177,Partial Breach (7 escaped, 3 captured)
46,Chess,random,83,10,1.86882,Partial Breach (6 escaped, 4 captured)
46,Chess,random,84,10,2.64462,Partial Breach (9 escaped, 1 captured)
46,Chess,random,85,10,2.12127,Partial Breach (7 escaped, 3 captured)
46,Chess,random,86,10,1.05242,Partial Breach (7 escaped, 3 captured)
46,Chess,random,87,10,1.90434,Partial Breach (8 escaped, 2 captured)
46,Chess,random,88,10,1.75763,Partial Breach (7 escaped, 3 captured)
46,Chess,random,89,10,2.02264,Partial Breach (9 escaped, 1 captured)
46,Chess,random,90,10,2.00696,Partial Breach (8 escaped, 2 captured)
46,Chess,random,91,10,1.46856,Partial Breach (7 escaped, 3 captured)
46,Chess,random,92,10,1.60063,Partial Breach (7 escaped, 3 captured)
46,Chess,random,93,10,1.94939,Partial Breach (8 escaped, 2 captured)
46,Chess,random,94,10,1.59299,Partial Breach (9 escaped, 1 captured)
46,Chess,random,95,10,1.85902,Partial Breach (7 escaped, 3 captured)
46,Chess,random,96,10,2.32057,Escapers Victory (All 10 breached)
46,Chess,random,97,10,1.41477,Partial Breach (5 escaped, 5 captured)
46,Chess,random,98,10,1.10196,Partial Breach (7 escaped, 3 captured)
46,Chess,random,99,10,1.84856,Partial Breach (7 escaped, 3 captured)
46,Arc,wedge,0,10,2.3857,Escapers Victory (All 10 breached)
46,Arc,wedge,1,10,2.07705,Escapers Victory (All 10 breached)
46,Arc,wedge,2,10,2.40297,Escapers Victory (All 10 breached)
46,Arc,wedge,3,10,2.37015,Escapers Victory (All 10 breached)
46,Arc,wedge,4,10,2.62368,Escapers Victory (All 10 breached)
46,Arc,wedge,5,10,2.0351,Escapers Victory (All 10 breached)
46,Arc,wedge,6,10,2.42818,Escapers Victory (All 10 breached)
46,Arc,wedge,7,10,1.77902,Escapers Victory (All 10 breached)
46,Arc,wedge,8,10,1.75331,Escapers Victory (All 10 breached)
