Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
9,Line,wedge,0,10,0.42926,Partial Breach (4 escaped, 6 captured)
9,Line,wedge,1,10,0.331844,Partial Breach (4 escaped, 6 captured)
9,Line,wedge,2,10,0.429501,Partial Breach (4 escaped, 6 captured)
9,Line,wedge,3,10,0.402988,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,4,10,0.363421,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,5,10,0.338823,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,6,10,0.387874,Partial Breach (4 escaped, 6 captured)
9,Line,wedge,7,10,0.302628,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,8,10,0.300011,Partial Breach (6 escaped, 4 captured)
9,Line,wedge,9,10,0.388922,Partial Breach (4 escaped, 6 captured)
9,Line,wedge,10,10,0.337101,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,11,10,0.389235,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,12,10,0.305113,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,13,10,0.358727,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,14,10,0.412975,Partial Breach (3 escaped, 7 captured)
9,Line,wedge,15,10,0.322369,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,16,10,0.436211,Partial Breach (3 escaped, 7 captured)
9,Line,wedge,17,10,0.318505,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,18,10,0.359641,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,19,10,0.358334,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,20,10,0.326586,Partial Breach (6 escaped, 4 captured)
9,Line,wedge,21,10,0.497676,Partial Breach (4 escaped, 6 captured)
9,Line,wedge,22,10,0.273908,Partial Breach (6 escaped, 4 captured)
9,Line,wedge,23,10,0.308411,Partial Breach (5 escaped, 5 captured)
9,Line,wedge,24,10,0.305292,Partial Breach (4 escaped, 6 captured)
9,Line,swarm,25,10,0.398446,Partial Breach (1 escaped, 9 captured)
9,Line,swarm,26,10,0.411288,Partial Breach (2 escaped, 8 captured)
9,Line,swarm,27,10,0.333819,Partial Breach (2 escaped, 8 captured)
9,Line,swarm,28,10,0.355029,Partial Breach (1 escaped, 9 captured)
9,Line,swarm,29,10,0.199539,Partial Breach (6 escaped, 4 captured)
9,Line,swarm,30,10,0.300744,Partial Breach (4 escaped, 6 captured)
9,Line,swarm,31,10,0.206088,Partial Breach (8 escaped, 2 captured)
9,Line,swarm,32,10,0.435714,Partial Breach (2 escaped, 8 captured)
9,Line,swarm,33,9,0.244829,Draw / Timeout (Remaining on field)
