Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
24,Line,wedge,0,10,0.633034,Partial Breach (4 escaped, 6 captured)
24,Line,wedge,1,10,0.574219,Partial Breach (5 escaped, 5 captured)
24,Line,wedge,2,10,0.774218,Partial Breach (6 escaped, 4 captured)
24,Line,wedge,3,10,0.605689,Partial Breach (4 escaped, 6 captured)
24,Line,wedge,4,10,0.607722,Partial Breach (6 escaped, 4 captured)
24,Line,wedge,5,10,0.560756,Partial Breach (5 escaped, 5 captured)
24,Line,wedge,6,10,0.659316,Partial Breach (4 escaped, 6 captured)
24,Line,wedge,7,10,0.447938,Partial Breach (4 escaped, 6 captured)
24,Line,wedge,8,10,0.554189,Partial Breach (7 escaped, 3 captured)
24,Line,wedge,9,10,0.690247,Partial Breach (6 escaped, 4 captured)
24,Line,wedge,10,10,0.607775,Partial Breach (8 escaped, 2 captured)
24,Line,wedge,11,10,0.635627,Partial Breach (7 escaped, 3 captured)
24,Line,wedge,12,10,0.443956,Partial Breach (5 escaped, 5 captured)
24,Line,wedge,13,10,0.571947,Partial Breach (5 escaped, 5 captured)
24,Line,wedge,14,10,0.725344,Partial Breach (4 escaped, 6 captured)
24,Line,wedge,15,10,0.519826,Partial Breach (4 escaped, 6 captured)
24,Line,wedge,16,10,0.785729,Partial Breach (7 escaped, 3 captured)
24,Line,wedge,17,10,0.505695,Partial Breach (6 escaped, 4 captured)
24,Line,wedge,18,10,0.580485,Partial Breach (6 escaped, 4 captured)
24,Line,wedge,19,10,0.648909,Partial Breach (7 escaped, 3 captured)
24,Line,wedge,20,10,0.453769,Partial Breach (3 escaped, 7 captured)
24,Line,wedge,21,10,0.796057,Partial Breach (5 escaped, 5 captured)
24,Line,wedge,22,10,0.424519,Partial Breach (5 escaped, 5 captured)
24,Line,wedge,23,10,0.50816,Partial Breach (5 escaped, 5 captured)
24,Line,wedge,24,10,0.514203,Partial Breach (5 escaped, 5 captured)
24,Line,swarm,25,10,0.730903,Partial Breach (2 escaped, 8 captured)
24,Line,swarm,26,10,0.692795,Partial Breach (2 escaped, 8 captured)
24,Line,swarm,27,10,0.6124,Partial Breach (4 escaped, 6 captured)
24,Line,swarm,28,10,0.644957,Partial Breach (3 escaped, 7 captured)
24,Line,swarm,29,10,0.341269,Partial Breach (9 escaped, 1 captured)
24,Line,swarm,30,10,0.410832,Partial Breach (3 escaped, 7 captured)
24,Line,swarm,31,10,0.26406,Partial Breach (8 escaped, 2 captured)
24,Line,swarm,32,10,0.683642,Partial Breach (2 escaped, 8 captured)
24,Line,swarm,33,10,0.462039,Partial Breach (5 escaped, 5 captured)
24,Line,swarm,34,10,0.180333,Partial Breach (9 escaped, 1 captured)
24,Line,swarm,35,10,0.284763,Partial Breach (9 escaped, 1 captured)
24,Line,swarm,36,10,0.682307,Partial Breach (3 escaped, 7 captured)
