Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
28,Line,wedge,0,10,0.563643,Partial Breach (2 escaped, 8 captured)
28,Line,wedge,1,10,0.422036,Partial Breach (1 escaped, 9 captured)
28,Line,wedge,2,10,0.513257,Partial Breach (1 escaped, 9 captured)
28,Line,wedge,3,10,0.457095,Partial Breach (1 escaped, 9 captured)
28,Line,wedge,4,10,0.527701,Partial Breach (2 escaped, 8 captured)
28,Line,wedge,5,10,0.458711,Partial Breach (1 escaped, 9 captured)
28,Line,wedge,6,10,0.587336,Partial Breach (2 escaped, 8 captured)
28,Line,wedge,7,10,0.371084,Pursuers Victory (All intercepted)
28,Line,wedge,8,10,0.443173,Partial Breach (4 escaped, 6 captured)
28,Line,wedge,9,10,0.542219,Partial Breach (1 escaped, 9 captured)
28,Line,wedge,10,10,0.404171,Partial Breach (1 escaped, 9 captured)
28,Line,wedge,11,10,0.457248,Partial Breach (1 escaped, 9 captured)
28,Line,wedge,12,10,0.343852,Pursuers Victory (All intercepted)
28,Line,wedge,13,10,0.427695,Partial Breach (2 escaped, 8 captured)
28,Line,wedge,14,10,0.60684,Partial Breach (1 escaped, 9 captured)
28,Line,wedge,15,10,0.366896,Partial Breach (1 escaped, 9 captured)
28,Line,wedge,16,10,0.590245,Partial Breach (1 escaped, 9 captured)
28,Line,wedge,17,10,0.388661,Partial Breach (2 escaped, 8 captured)
28,Line,wedge,18,10,0.456516,Partial Breach (1 escaped, 9 captured)
28,Line,wedge,19,10,0.500324,Partial Breach (2 escaped, 8 captured)
28,Line,wedge,20,10,0.444585,Partial Breach (4 escaped, 6 captured)
28,Line,wedge,21,10,0.568819,Partial Breach (1 escaped, 9 captured)
28,Line,wedge,22,10,0.418965,Partial Breach (5 escaped, 5 captured)
28,Line,wedge,23,10,0.449679,Partial Breach (2 escaped, 8 captured)
28,Line,wedge,24,10,0.348339,Pursuers Victory (All intercepted)
28,Line,swarm,25,10,0.476663,Pursuers Victory (All intercepted)
28,Line,swarm,26,10,0.471814,Pursuers Victory (All intercepted)
28,Line,swarm,27,10,0.369111,Pursuers Victory (All intercepted)
28,Line,swarm,28,10,0.42095,Pursuers Victory (All intercepted)
28,Line,swarm,29,10,0.264039,Partial Breach (2 escaped, 8 captured)
28,Line,swarm,30,10,0.315577,Pursuers Victory (All intercepted)
28,Line,swarm,31,10,0.256219,Partial Breach (4 escaped, 6 captured)
28,Line,swarm,32,10,0.506634,Pursuers Victory (All intercepted)
28,Line,swarm,33,10,0.317184,Pursuers Victory (All intercepted)
28,Line,swarm,34,10,0.185711,Partial Breach (8 escaped, 2 captured)
28,Line,swarm,35,10,0.270817,Partial Breach (5 escaped, 5 captured)
28,Line,swarm,36,10,0.43421,Pursuers Victory (All intercepted)
