Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
17,Line,wedge,0,10,0.499913,Partial Breach (3 escaped, 7 captured)
17,Line,wedge,1,10,0.450524,Partial Breach (4 escaped, 6 captured)
17,Line,wedge,2,10,0.483407,Partial Breach (2 escaped, 8 captured)
17,Line,wedge,3,10,0.470999,Partial Breach (3 escaped, 7 captured)
17,Line,wedge,4,10,0.429383,Partial Breach (3 escaped, 7 captured)
17,Line,wedge,5,10,0.385273,Partial Breach (2 escaped, 8 captured)
17,Line,wedge,6,10,0.459136,Partial Breach (1 escaped, 9 captured)
17,Line,wedge,7,10,0.362046,Partial Breach (5 escaped, 5 captured)
17,Line,wedge,8,10,0.389794,Partial Breach (3 escaped, 7 captured)
17,Line,wedge,9,10,0.485144,Partial Breach (2 escaped, 8 captured)
17,Line,wedge,10,10,0.42629,Partial Breach (5 escaped, 5 captured)
17,Line,wedge,11,10,0.446516,Partial Breach (3 escaped, 7 captured)
17,Line,wedge,12,10,0.342539,Partial Breach (4 escaped, 6 captured)
17,Line,wedge,13,10,0.399778,Partial Breach (3 escaped, 7 captured)
17,Line,wedge,14,10,0.510723,Partial Breach (1 escaped, 9 captured)
17,Line,wedge,15,10,0.419328,Partial Breach (4 escaped, 6 captured)
17,Line,wedge,16,10,0.503105,Partial Breach (2 escaped, 8 captured)
17,Line,wedge,17,10,0.382033,Partial Breach (4 escaped, 6 captured)
17,Line,wedge,18,10,0.461937,Partial Breach (3 escaped, 7 captured)
17,Line,wedge,19,10,0.523146,Partial Breach (5 escaped, 5 captured)
17,Line,wedge,20,10,0.370552,Partial Breach (3 escaped, 7 captured)
17,Line,wedge,21,10,0.576195,Partial Breach (1 escaped, 9 captured)
17,Line,wedge,22,10,0.294766,Partial Breach (3 escaped, 7 captured)
17,Line,wedge,23,10,0.372249,Partial Breach (4 escaped, 6 captured)
17,Line,wedge,24,10,0.398559,Partial Breach (4 escaped, 6 captured)
17,Line,swarm,25,10,0.422085,Pursuers Victory (All intercepted)
17,Line,swarm,26,10,0.469776,Pursuers Victory (All intercepted)
17,Line,swarm,27,10,0.369612,Pursuers Victory (All intercepted)
17,Line,swarm,28,10,0.34701,Pursuers Victory (All intercepted)
17,Line,swarm,29,10,0.231769,Partial Breach (3 escaped, 7 captured)
17,Line,swarm,30,10,0.259821,Pursuers Victory (All intercepted)
17,Line,swarm,31,10,0.240678,Partial Breach (6 escaped, 4 captured)
17,Line,swarm,32,10,0.434226,Pursuers Victory (All intercepted)
17,Line,swarm,33,10,0.309061,Pursuers Victory (All intercepted)
17,Line,swarm,34,10,0.158376,Partial Breach (9 escaped, 1 captured)
17,Line,swarm,35,10,0.227681,Partial Breach (5 escaped, 5 captured)
17,Line,swarm,36,10,0.383371,Pursuers Victory (All intercepted)
17,Line,swarm,37,10,0.341062,Pursuers Victory (All intercepted)
17,Line,swarm,38,10,0.341422,Pursuers Victory (All intercepted)
17,Line,swarm,39,10,0.423687,Pursuers Victory (All intercepted)
17,Line,swarm,40,10,0.403651,Pursuers Victory (All intercepted)
17,Line,swarm,41,10,0.294379,Partial Breach (1 escaped, 9 captured)
