Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
42,Line,wedge,0,10,1.54315,Partial Breach (4 escaped, 6 captured)
42,Line,wedge,1,10,1.87226,Escapers Victory (All 10 breached)
42,Line,wedge,2,10,2.31749,Escapers Victory (All 10 breached)
42,Line,wedge,3,10,2.052,Escapers Victory (All 10 breached)
42,Line,wedge,4,10,1.98369,Escapers Victory (All 10 breached)
42,Line,wedge,5,10,2.19254,Escapers Victory (All 10 breached)
42,Line,wedge,6,10,2.15578,Escapers Victory (All 10 breached)
42,Line,wedge,7,10,1.30807,Partial Breach (9 escaped, 1 captured)
42,Line,wedge,8,10,1.42751,Escapers Victory (All 10 breached)
42,Line,wedge,9,10,2.10081,Escapers Victory (All 10 breached)
42,Line,wedge,10,10,1.57023,Escapers Victory (All 10 breached)
42,Line,wedge,11,10,1.86688,Escapers Victory (All 10 breached)
42,Line,wedge,12,10,1.36853,Partial Breach (9 escaped, 1 captured)
42,Line,wedge,13,10,1.72235,Escapers Victory (All 10 breached)
42,Line,wedge,14,10,2.26892,Escapers Victory (All 10 breached)
42,Line,wedge,15,10,1.58163,Escapers Victory (All 10 breached)
42,Line,wedge,16,10,2.30236,Escapers Victory (All 10 breached)
42,Line,wedge,17,10,1.52524,Escapers Victory (All 10 breached)
42,Line,wedge,18,10,1.86375,Escapers Victory (All 10 breached)
42,Line,wedge,19,10,1.50875,Partial Breach (8 escaped, 2 captured)
42,Line,wedge,20,10,1.39246,Escapers Victory (All 10 breached)
42,Line,wedge,21,10,2.48685,Escapers Victory (All 10 breached)
42,Line,wedge,22,10,1.00036,Partial Breach (8 escaped, 2 captured)
42,Line,wedge,23,10,1.54116,Escapers Victory (All 10 breached)
42,Line,wedge,24,10,1.81362,Escapers Victory (All 10 breached)
42,Line,swarm,25,10,2.62277,Escapers Victory (All 10 breached)
42,Line,swarm,26,10,2.35873,Escapers Victory (All 10 breached)
42,Line,swarm,27,10,1.91089,Escapers Victory (All 10 breached)
42,Line,swarm,28,10,2.14061,Escapers Victory (All 10 breached)
42,Line,swarm,29,10,0.798572,Partial Breach (7 escaped, 3 captured)
42,Line,swarm,30,10,1.40866,Escapers Victory (All 10 breached)
42,Line,swarm,31,10,0.892924,Escapers Victory (All 10 breached)
42,Line,swarm,32,10,2.67245,Escapers Victory (All 10 breached)
42,Line,swarm,33,10,1.51047,Escapers Victory (All 10 breached)
42,Line,swarm,34,10,0.524119,Escapers Victory (All 10 breached)
42,Line,swarm,35,10,0.875585,Escapers Victory (All 10 breached)
42,Line,swarm,36,10,2.37056,Escapers Victory (All 10 breached)
42,Line,swarm,37,10,2.13088,Escapers Victory (All 10 breached)
42,Line,swarm,38,10,2.07611,Escapers Victory (All 10 breached)
42,Line,swarm,39,10,2.57938,Escapers Victory (All 10 breached)
42,Line,swarm,40,10,2.59338,Escapers Victory (All 10 breached)
42,Line,swarm,41,10,1.4718,Escapers Victory (All 10 breached)
42,Line,swarm,42,10,2.45225,Escapers Victory (All 10 breached)
42,Line,swarm,43,10,0.641006,Escapers Victory (All 10 breached)
42,Line,swarm,44,10,2.47748,Escapers Victory (All 10 breached)
42,Line,swarm,45,10,2.08596,Escapers Victory (All 10 breached)
42,Line,swarm,46,10,2.13822,Escapers Victory (All 10 breached)
42,Line,swarm,47,10,2.17787,Escapers Victory (All 10 breached)
42,Line,swarm,48,10,2.07181,Escapers Victory (All 10 breached)
42,Line,swarm,49,10,0.544721,Escapers Victory (All 10 breached)
42,Line,stairs,50,10,1.18703,Partial Breach (6 escaped, 4 captured)
42,Line,stairs,51,10,1.17597,Partial Breach (6 escaped, 4 captured)
42,Line,stairs,52,10,1.45672,Partial Breach (7 escaped, 3 captured)
