Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
27,Line,wedge,0,10,0.540545,Partial Breach (3 escaped, 7 captured)
27,Line,wedge,1,10,0.447832,Partial Breach (1 escaped, 9 captured)
27,Line,wedge,2,10,0.390672,Pursuers Victory (All intercepted)
27,Line,wedge,3,10,0.503089,Partial Breach (3 escaped, 7 captured)
27,Line,wedge,4,10,0.417421,Pursuers Victory (All intercepted)
27,Line,wedge,5,10,0.375355,Pursuers Victory (All intercepted)
27,Line,wedge,6,10,0.566974,Partial Breach (3 escaped, 7 captured)
27,Line,wedge,7,10,0.377643,Partial Breach (2 escaped, 8 captured)
27,Line,wedge,8,10,0.429162,Partial Breach (2 escaped, 8 captured)
27,Line,wedge,9,10,0.530638,Partial Breach (1 escaped, 9 captured)
27,Line,wedge,10,10,0.47576,Partial Breach (4 escaped, 6 captured)
27,Line,wedge,11,10,0.451483,Partial Breach (1 escaped, 9 captured)
27,Line,wedge,12,10,0.389665,Partial Breach (3 escaped, 7 captured)
27,Line,wedge,13,10,0.421605,Partial Breach (2 escaped, 8 captured)
27,Line,wedge,14,10,0.531147,Pursuers Victory (All intercepted)
27,Line,wedge,15,10,0.430443,Partial Breach (2 escaped, 8 captured)
27,Line,wedge,16,10,0.544665,Pursuers Victory (All intercepted)
27,Line,wedge,17,10,0.409531,Partial Breach (3 escaped, 7 captured)
27,Line,wedge,18,10,0.417753,Partial Breach (1 escaped, 9 captured)
27,Line,wedge,19,10,0.430435,Partial Breach (1 escaped, 9 captured)
27,Line,wedge,20,10,0.309213,Pursuers Victory (All intercepted)
27,Line,wedge,21,10,0.580526,Partial Breach (1 escaped, 9 captured)
27,Line,wedge,22,10,0.357003,Partial Breach (4 escaped, 6 captured)
27,Line,wedge,23,10,0.449775,Partial Breach (2 escaped, 8 captured)
27,Line,wedge,24,10,0.423615,Partial Breach (2 escaped, 8 captured)
27,Line,swarm,25,10,0.43954,Pursuers Victory (All intercepted)
27,Line,swarm,26,10,0.443233,Pursuers Victory (All intercepted)
27,Line,swarm,27,10,0.407133,Pursuers Victory (All intercepted)
27,Line,swarm,28,10,0.364059,Pursuers Victory (All intercepted)
27,Line,swarm,29,10,0.268197,Partial Breach (3 escaped, 7 captured)
27,Line,swarm,30,10,0.272514,Pursuers Victory (All intercepted)
27,Line,swarm,31,10,0.267397,Partial Breach (4 escaped, 6 captured)
27,Line,swarm,32,10,0.50439,Pursuers Victory (All intercepted)
27,Line,swarm,33,10,0.331508,Pursuers Victory (All intercepted)
27,Line,swarm,34,10,0.17158,Partial Breach (8 escaped, 2 captured)
27,Line,swarm,35,10,0.25583,Partial Breach (2 escaped, 8 captured)
27,Line,swarm,36,10,0.430301,Pursuers Victory (All intercepted)
27,Line,swarm,37,10,0.405719,Pursuers Victory (All intercepted)
27,Line,swarm,38,10,0.406798,Pursuers Victory (All intercepted)
27,Line,swarm,39,10,0.468047,Pursuers Victory (All intercepted)
27,Line,swarm,40,10,0.454003,Pursuers Victory (All intercepted)
27,Line,swarm,41,10,0.361739,Pursuers Victory (All intercepted)
27,Line,swarm,42,10,0.451732,Pursuers Victory (All intercepted)
27,Line,swarm,43,10,0.245564,Partial Breach (7 escaped, 3 captured)
27,Line,swarm,44,10,0.491469,Pursuers Victory (All intercepted)
27,Line,swarm,45,10,0.422325,Pursuers Victory (All intercepted)
27,Line,swarm,46,10,0.392253,Pursuers Victory (All intercepted)
27,Line,swarm,47,10,0.461398,Pursuers Victory (All intercepted)
27,Line,swarm,48,10,0.460074,Pursuers Victory (All intercepted)
27,Line,swarm,49,10,0.211751,Partial Breach (9 escaped, 1 captured)
27,Line,stairs,50,10,0.411861,Partial Breach (1 escaped, 9 captured)
27,Line,stairs,51,10,0.379261,Partial Breach (1 escaped, 9 captured)
27,Line,stairs,52,10,0.443481,Partial Breach (2 escaped, 8 captured)
27,Line,stairs,53,10,0.417895,Partial Breach (2 escaped, 8 captured)
27,Line,stairs,54,10,0.370569,Partial Breach (1 escaped, 9 captured)
27,Line,stairs,55,10,0.412741,Partial Breach (3 escaped, 7 captured)
27,Line,stairs,56,10,0.392325,Partial Breach (3 escaped, 7 captured)
27,Line,stairs,57,10,0.407515,Partial Breach (1 escaped, 9 captured)
27,Line,stairs,58,10,0.365038,Partial Breach (1 escaped, 9 captured)
27,Line,stairs,59,10,0.352344,Partial Breach (2 escaped, 8 captured)
27,Line,stairs,60,10,0.386587,Partial Breach (3 escaped, 7 captured)
27,Line,stairs,61,10,0.405108,Partial Breach (2 escaped, 8 captured)
27,Line,stairs,62,10,0.385964,Partial Breach (1 escaped, 9 captured)
27,Line,stairs,63,10,0.387768,Partial Breach (2 escaped, 8 captured)
27,Line,stairs,64,10,0.359983,Partial Breach (2 escaped, 8 captured)
27,Line,stairs,65,10,0.379839,Partial Breach (1 escaped, 9 captured)
27,Line,stairs,66,10,0.367867,Partial Breach (2 escaped, 8 captured)
27,Line,stairs,67,10,0.321605,Partial Breach (2 escaped, 8 captured)
27,Line,stairs,68,10,0.422453,Partial Breach (1 escaped, 9 captured)
27,Line,stairs,69,10,0.416234,Partial Breach (3 escaped, 7 captured)
27,Line,stairs,70,10,0.746936,Partial Breach (3 escaped, 7 captured)
27,Line,stairs,71,10,0.427326,Partial Breach (2 escaped, 8 captured)
27,Line,stairs,72,10,0.331654,Partial Breach (3 escaped, 7 captured)
27,Line,stairs,73,10,0.334496,Partial Breach (2 escaped, 8 captured)
27,Line,stairs,74,10,0.3625,Partial Breach (3 escaped, 7 captured)
27,Line,random,75,10,0.38105,Partial Breach (3 escaped, 7 captured)
27,Line,random,76,10,0.29425,Partial Breach (3 escaped, 7 captured)
27,Line,random,77,10,0.340779,Partial Breach (3 escaped, 7 captured)
27,Line,random,78,10,0.351889,Partial Breach (3 escaped, 7 captured)
27,Line,random,79,10,0.316505,Partial Breach (1 escaped, 9 captured)
27,Line,random,80,10,0.31249,Partial Breach (4 escaped, 6 captured)
27,Line,random,81,10,0.439854,Partial Breach (1 escaped, 9 captured)
27,Line,random,82,10,0.370563,Partial Breach (1 escaped, 9 captured)
27,Line,random,83,10,0.324678,Partial Breach (1 escaped, 9 captured)
27,Line,random,84,10,0.429552,Partial Breach (1 escaped, 9 captured)
27,Line,random,85,10,0.342482,Partial Breach (4 escaped, 6 captured)
27,Line,random,86,10,0.305684,Partial Breach (6 escaped, 4 captured)
27,Line,random,87,10,0.320786,Partial Breach (1 escaped, 9 captured)
27,Line,random,88,10,0.339992,Partial Breach (2 escaped, 8 captured)
27,Line,random,89,10,0.334964,Partial Breach (1 escaped, 9 captured)
27,Line,random,90,10,0.380944,Partial Breach (1 escaped, 9 captured)
27,Line,random,91,10,0.371152,Partial Breach (1 escaped, 9 captured)
27,Line,random,92,10,0.379834,Pursuers Victory (All intercepted)
27,Line,random,93,10,0.331066,Pursuers Victory (All intercepted)
27,Line,random,94,10,0.312991,Partial Breach (1 escaped, 9 captured)
27,Line,random,95,10,0.335453,Pursuers Victory (All intercepted)
27,Line,random,96,10,0.372556,Partial Breach (1 escaped, 9 captured)
27,Line,random,97,10,0.351336,Partial Breach (2 escaped, 8 captured)
27,Line,random,98,10,0.266751,Partial Breach (6 escaped, 4 captured)
27,Line,random,99,10,0.362993,Partial Breach (2 escaped, 8 captured)
27,Chess,wedge,0,10,0.476428,Pursuers Victory (All intercepted)
27,Chess,wedge,1,10,0.537009,Partial Breach (3 escaped, 7 captured)
27,Chess,wedge,2,10,0.587404,Partial Breach (1 escaped, 9 captured)
27,Chess,wedge,3,10,0.498101,Partial Breach (2 escaped, 8 captured)
27,Chess,wedge,4,10,0.473022,Partial Breach (2 escaped, 8 captured)
27,Chess,wedge,5,10,0.43887,Partial Breach (1 escaped, 9 captured)
27,Chess,wedge,6,10,0.592555,Partial Breach (3 escaped, 7 captured)
27,Chess,wedge,7,10,0.465812,Partial Breach (4 escaped, 6 captured)
27,Chess,wedge,8,10,0.446899,Partial Breach (2 escaped, 8 captured)
27,Chess,wedge,9,10,0.570113,Partial Breach (3 escaped, 7 captured)
27,Chess,wedge,10,10,0.428709,Partial Breach (2 escaped, 8 captured)
27,Chess,wedge,11,10,0.49493,Partial Breach (2 escaped, 8 captured)
27,Chess,wedge,12,10,0.451489,Partial Breach (4 escaped, 6 captured)
27,Chess,wedge,13,10,0.516321,Partial Breach (3 escaped, 7 captured)
27,Chess,wedge,14,10,0.614337,Partial Breach (1 escaped, 9 captured)
27,Chess,wedge,15,10,0.458554,Partial Breach (2 escaped, 8 captured)
27,Chess,wedge,16,10,0.596907,Partial Breach (1 escaped, 9 captured)
27,Chess,wedge,17,10,0.495102,Partial Breach (3 escaped, 7 captured)
27,Chess,wedge,18,10,0.480657,Partial Breach (2 escaped, 8 captured)
27,Chess,wedge,19,10,0.528181,Partial Breach (2 escaped, 8 captured)
27,Chess,wedge,20,10,0.388051,Partial Breach (1 escaped, 9 captured)
27,Chess,wedge,21,10,0.581379,Partial Breach (1 escaped, 9 captured)
27,Chess,wedge,22,10,0.387776,Partial Breach (4 escaped, 6 captured)
27,Chess,wedge,23,10,0.457543,Partial Breach (2 escaped, 8 captured)
27,Chess,wedge,24,10,0.448128,Partial Breach (1 escaped, 9 captured)
27,Chess,swarm,25,10,0.510097,Pursuers Victory (All intercepted)
27,Chess,swarm,26,10,0.530996,Pursuers Victory (All intercepted)
27,Chess,swarm,27,10,0.389627,Pursuers Victory (All intercepted)
27,Chess,swarm,28,10,0.401726,Pursuers Victory (All intercepted)
27,Chess,swarm,29,10,0.277289,Partial Breach (2 escaped, 8 captured)
27,Chess,swarm,30,10,0.339113,Pursuers Victory (All intercepted)
27,Chess,swarm,31,10,0.25114,Partial Breach (4 escaped, 6 captured)
27,Chess,swarm,32,10,0.541344,Pursuers Victory (All intercepted)
27,Chess,swarm,33,10,0.402877,Pursuers Victory (All intercepted)
27,Chess,swarm,34,10,0.198502,Escapers Victory (All 10 breached)
27,Chess,swarm,35,10,0.248011,Partial Breach (3 escaped, 7 captured)
27,Chess,swarm,36,10,0.483899,Pursuers Victory (All intercepted)
27,Chess,swarm,37,10,0.439023,Pursuers Victory (All intercepted)
27,Chess,swarm,38,10,0.387598,Pursuers Victory (All intercepted)
27,Chess,swarm,39,10,0.469446,Pursuers Victory (All intercepted)
27,Chess,swarm,40,10,0.479463,Pursuers Victory (All intercepted)
27,Chess,swarm,41,10,0.348023,Pursuers Victory (All intercepted)
27,Chess,swarm,42,10,0.462104,Pursuers Victory (All intercepted)
27,Chess,swarm,43,10,0.215506,Partial Breach (5 escaped, 5 captured)
27,Chess,swarm,44,10,0.462191,Pursuers Victory (All intercepted)
27,Chess,swarm,45,10,0.511656,Pursuers Victory (All intercepted)
27,Chess,swarm,46,10,0.364749,Pursuers Victory (All intercepted)
27,Chess,swarm,47,10,0.429717,Pursuers Victory (All intercepted)
27,Chess,swarm,48,10,0.869414,Pursuers Victory (All intercepted)
27,Chess,swarm,49,10,0.212984,Partial Breach (6 escaped, 4 captured)
27,Chess,stairs,50,10,0.394281,Partial Breach (1 escaped, 9 captured)
27,Chess,stairs,51,10,0.364574,Partial Breach (1 escaped, 9 captured)
27,Chess,stairs,52,10,0.39784,Partial Breach (1 escaped, 9 captured)
27,Chess,stairs,53,10,0.435597,Partial Breach (1 escaped, 9 captured)
