Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
49,Line,wedge,0,10,2.70367,Escapers Victory (All 10 breached)
49,Line,wedge,1,10,2.41108,Escapers Victory (All 10 breached)
49,Line,wedge,2,10,2.8812,Escapers Victory (All 10 breached)
49,Line,wedge,3,10,2.47388,Escapers Victory (All 10 breached)
49,Line,wedge,4,10,2.40715,Escapers Victory (All 10 breached)
49,Line,wedge,5,10,2.18841,Escapers Victory (All 10 breached)
49,Line,wedge,6,10,2.60378,Escapers Victory (All 10 breached)
49,Line,wedge,7,10,1.93424,Escapers Victory (All 10 breached)
49,Line,wedge,8,10,2.11349,Escapers Victory (All 10 breached)
49,Line,wedge,9,10,2.54093,Escapers Victory (All 10 breached)
49,Line,wedge,10,10,2.6595,Escapers Victory (All 10 breached)
49,Line,wedge,11,10,2.28458,Escapers Victory (All 10 breached)
49,Line,wedge,12,10,1.83056,Escapers Victory (All 10 breached)
49,Line,wedge,13,10,2.31633,Escapers Victory (All 10 breached)
49,Line,wedge,14,10,2.81794,Escapers Victory (All 10 breached)
49,Line,wedge,15,10,2.17834,Escapers Victory (All 10 breached)
49,Line,wedge,16,10,2.77569,Escapers Victory (All 10 breached)
49,Line,wedge,17,10,2.17178,Escapers Victory (All 10 breached)
49,Line,wedge,18,10,2.49571,Escapers Victory (All 10 breached)
49,Line,wedge,19,10,2.27794,Escapers Victory (All 10 breached)
49,Line,wedge,20,10,2.01443,Escapers Victory (All 10 breached)
49,Line,wedge,21,10,3.11964,Escapers Victory (All 10 breached)
49,Line,wedge,22,10,1.66625,Escapers Victory (All 10 breached)
49,Line,wedge,23,10,2.08044,Escapers Victory (All 10 breached)
49,Line,wedge,24,10,2.23494,Escapers Victory (All 10 breached)
49,Line,swarm,25,10,2.69487,Escapers Victory (All 10 breached)
49,Line,swarm,26,10,2.54701,Escapers Victory (All 10 breached)
49,Line,swarm,27,10,2.16119,Escapers Victory (All 10 breached)
49,Line,swarm,28,10,2.2617,Escapers Victory (All 10 breached)
49,Line,swarm,29,10,1.19382,Escapers Victory (All 10 breached)
49,Line,swarm,30,10,1.7305,Partial Breach (9 escaped, 1 captured)
49,Line,swarm,31,10,0.955721,Escapers Victory (All 10 breached)
49,Line,swarm,32,10,2.87997,Escapers Victory (All 10 breached)
49,Line,swarm,33,10,1.62033,Escapers Victory (All 10 breached)
49,Line,swarm,34,10,0.762797,Escapers Victory (All 10 breached)
49,Line,swarm,35,10,0.881344,Escapers Victory (All 10 breached)
49,Line,swarm,36,10,2.57712,Escapers Victory (All 10 breached)
49,Line,swarm,37,10,2.46968,Escapers Victory (All 10 breached)
49,Line,swarm,38,10,2.52517,Escapers Victory (All 10 breached)
49,Line,swarm,39,10,2.94955,Escapers Victory (All 10 breached)
49,Line,swarm,40,10,2.84375,Escapers Victory (All 10 breached)
49,Line,swarm,41,10,1.51862,Escapers Victory (All 10 breached)
49,Line,swarm,42,10,2.19249,Escapers Victory (All 10 breached)
49,Line,swarm,43,10,0.914047,Escapers Victory (All 10 breached)
49,Line,swarm,44,10,2.74669,Escapers Victory (All 10 breached)
49,Line,swarm,45,10,2.45162,Escapers Victory (All 10 breached)
49,Line,swarm,46,10,2.55026,Escapers Victory (All 10 breached)
49,Line,swarm,47,10,2.46202,Escapers Victory (All 10 breached)
49,Line,swarm,48,10,2.28962,Escapers Victory (All 10 breached)
49,Line,swarm,49,10,0.849012,Escapers Victory (All 10 breached)
49,Line,stairs,50,10,2.63797,Escapers Victory (All 10 breached)
49,Line,stairs,51,10,2.63787,Escapers Victory (All 10 breached)
49,Line,stairs,52,10,2.63029,Escapers Victory (All 10 breached)
49,Line,stairs,53,10,2.46186,Escapers Victory (All 10 breached)
49,Line,stairs,54,10,2.54702,Escapers Victory (All 10 breached)
49,Line,stairs,55,10,2.40318,Partial Breach (9 escaped, 1 captured)
49,Line,stairs,56,10,2.44153,Escapers Victory (All 10 breached)
49,Line,stairs,57,10,2.51498,Escapers Victory (All 10 breached)
49,Line,stairs,58,10,2.4913,Escapers Victory (All 10 breached)
49,Line,stairs,59,10,2.63693,Escapers Victory (All 10 breached)
49,Line,stairs,60,10,2.49732,Escapers Victory (All 10 breached)
49,Line,stairs,61,10,2.42616,Escapers Victory (All 10 breached)
49,Line,stairs,62,10,2.5216,Escapers Victory (All 10 breached)
49,Line,stairs,63,10,2.44232,Partial Breach (9 escaped, 1 captured)
49,Line,stairs,64,10,2.37564,Escapers Victory (All 10 breached)
49,Line,stairs,65,10,2.5026,Escapers Victory (All 10 breached)
49,Line,stairs,66,10,2.31491,Partial Breach (9 escaped, 1 captured)
49,Line,stairs,67,10,2.25107,Escapers Victory (All 10 breached)
49,Line,stairs,68,10,2.51902,Escapers Victory (All 10 breached)
49,Line,stairs,69,10,2.49848,Escapers Victory (All 10 breached)
49,Line,stairs,70,10,2.50093,Escapers Victory (All 10 breached)
49,Line,stairs,71,10,2.42335,Escapers Victory (All 10 breached)
49,Line,stairs,72,10,2.35574,Escapers Victory (All 10 breached)
49,Line,stairs,73,10,2.47072,Escapers Victory (All 10 breached)
49,Line,stairs,74,10,2.5518,Escapers Victory (All 10 breached)
49,Line,random,75,10,2.61475,Partial Breach (9 escaped, 1 captured)
49,Line,random,76,10,2.26586,Partial Breach (9 escaped, 1 captured)
49,Line,random,77,10,2.19503,Escapers Victory (All 10 breached)
49,Line,random,78,10,2.23589,Escapers Victory (All 10 breached)
49,Line,random,79,10,2.10208,Escapers Victory (All 10 breached)
49,Line,random,80,10,2.17164,Partial Breach (9 escaped, 1 captured)
49,Line,random,81,10,2.63212,Partial Breach (9 escaped, 1 captured)
49,Line,random,82,10,2.90545,Escapers Victory (All 10 breached)
49,Line,random,83,10,2.68784,Escapers Victory (All 10 breached)
49,Line,random,84,10,2.88914,Escapers Victory (All 10 breached)
49,Line,random,85,10,2.77847,Escapers Victory (All 10 breached)
49,Line,random,86,10,1.95742,Partial Breach (9 escaped, 1 captured)
49,Line,random,87,10,2.48707,Escapers Victory (All 10 breached)
49,Line,random,88,10,2.4078,Escapers Victory (All 10 breached)
49,Line,random,89,10,2.51699,Escapers Victory (All 10 breached)
49,Line,random,90,10,2.63743,Escapers Victory (All 10 breached)
49,Line,random,91,10,2.67873,Escapers Victory (All 10 breached)
49,Line,random,92,10,2.65251,Partial Breach (9 escaped, 1 captured)
49,Line,random,93,10,2.46642,Escapers Victory (All 10 breached)
49,Line,random,94,10,2.2656,Partial Breach (9 escaped, 1 captured)
49,Line,random,95,10,2.93224,Escapers Victory (All 10 breached)
49,Line,random,96,10,2.53877,Escapers Victory (All 10 breached)
49,Line,random,97,10,2.31674,Escapers Victory (All 10 breached)
49,Line,random,98,10,1.66534,Partial Breach (9 escaped, 1 captured)
49,Line,random,99,10,2.7058,Escapers Victory (All 10 breached)
49,Chess,wedge,0,10,2.79569,Escapers Victory (All 10 breached)
49,Chess,wedge,1,10,2.38653,Escapers Victory (All 10 breached)
49,Chess,wedge,2,10,2.78988,Escapers Victory (All 10 breached)
49,Chess,wedge,3,10,2.55233,Escapers Victory (All 10 breached)
49,Chess,wedge,4,10,2.35697,Escapers Victory (All 10 breached)
49,Chess,wedge,5,10,2.28453,Escapers Victory (All 10 breached)
49,Chess,wedge,6,10,2.73956,Escapers Victory (All 10 breached)
