Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
100,Line,wedge,0,10,3.44297,Escapers Victory (All 10 breached)
100,Line,wedge,1,10,2.90737,Escapers Victory (All 10 breached)
100,Line,wedge,2,10,4.74118,Escapers Victory (All 10 breached)
100,Line,wedge,3,10,3.46375,Escapers Victory (All 10 breached)
100,Line,wedge,4,10,3.10769,Escapers Victory (All 10 breached)
100,Line,wedge,5,10,2.95067,Escapers Victory (All 10 breached)
100,Line,wedge,6,10,3.39124,Escapers Victory (All 10 breached)
100,Line,wedge,7,10,3.07185,Escapers Victory (All 10 breached)
100,Line,wedge,8,10,2.4676,Escapers Victory (All 10 breached)
100,Line,wedge,9,10,3.18443,Escapers Victory (All 10 breached)
100,Line,wedge,10,10,2.42092,Partial Breach (9 escaped, 1 captured)
100,Line,wedge,11,10,2.59892,Escapers Victory (All 10 breached)
100,Line,wedge,12,10,2.24017,Escapers Victory (All 10 breached)
100,Line,wedge,13,10,2.92012,Escapers Victory (All 10 breached)
100,Line,wedge,14,10,3.59641,Escapers Victory (All 10 breached)
100,Line,wedge,15,10,2.80148,Escapers Victory (All 10 breached)
100,Line,wedge,16,10,3.45675,Escapers Victory (All 10 breached)
100,Line,wedge,17,10,2.66982,Partial Breach (9 escaped, 1 captured)
100,Line,wedge,18,10,3.49372,Escapers Victory (All 10 breached)
100,Line,wedge,19,10,2.99573,Escapers Victory (All 10 breached)
100,Line,wedge,20,10,2.48235,Escapers Victory (All 10 breached)
100,Line,wedge,21,10,3.81649,Escapers Victory (All 10 breached)
100,Line,wedge,22,10,1.92102,Escapers Victory (All 10 breached)
100,Line,wedge,23,10,2.57927,Escapers Victory (All 10 breached)
100,Line,wedge,24,10,2.76036,Escapers Victory (All 10 breached)
100,Line,swarm,25,10,3.60639,Escapers Victory (All 10 breached)
100,Line,swarm,26,10,3.36972,Escapers Victory (All 10 breached)
100,Line,swarm,27,10,2.8231,Escapers Victory (All 10 breached)
100,Line,swarm,28,10,2.99076,Escapers Victory (All 10 breached)
100,Line,swarm,29,10,1.43435,Partial Breach (9 escaped, 1 captured)
100,Line,swarm,30,10,2.64193,Escapers Victory (All 10 breached)
100,Line,swarm,31,10,1.1012,Escapers Victory (All 10 breached)
100,Line,swarm,32,10,3.62572,Escapers Victory (All 10 breached)
100,Line,swarm,33,10,1.97541,Escapers Victory (All 10 breached)
100,Line,swarm,34,10,0.773203,Escapers Victory (All 10 breached)
100,Line,swarm,35,10,1.09715,Partial Breach (9 escaped, 1 captured)
100,Line,swarm,36,10,3.27363,Escapers Victory (All 10 breached)
100,Line,swarm,37,10,3.13014,Escapers Victory (All 10 breached)
100,Line,swarm,38,10,3.25607,Escapers Victory (All 10 breached)
100,Line,swarm,39,10,3.49554,Escapers Victory (All 10 breached)
100,Line,swarm,40,10,3.4617,Escapers Victory (All 10 breached)
100,Line,swarm,41,10,2.03359,Partial Breach (9 escaped, 1 captured)
100,Line,swarm,42,10,3.0435,Escapers Victory (All 10 breached)
100,Line,swarm,43,10,1.55735,Escapers Victory (All 10 breached)
100,Line,swarm,44,10,3.63824,Escapers Victory (All 10 breached)
100,Line,swarm,45,10,3.16957,Escapers Victory (All 10 breached)
100,Line,swarm,46,10,3.22905,Escapers Victory (All 10 breached)
100,Line,swarm,47,10,3.35088,Escapers Victory (All 10 breached)
100,Line,swarm,48,10,2.93559,Partial Breach (9 escaped, 1 captured)
100,Line,swarm,49,10,0.969314,Escapers Victory (All 10 breached)
100,Line,stairs,50,10,3.63268,Escapers Victory (All 10 breached)
100,Line,stairs,51,10,3.56395,Escapers Victory (All 10 breached)
100,Line,stairs,52,10,3.59612,Escapers Victory (All 10 breached)
100,Line,stairs,53,10,3.56735,Escapers Victory (All 10 breached)
100,Line,stairs,54,10,3.75463,Escapers Victory (All 10 breached)
100,Line,stairs,55,10,3.50414,Escapers Victory (All 10 breached)
100,Line,stairs,56,10,3.62429,Escapers Victory (All 10 breached)
100,Line,stairs,57,10,3.60927,Escapers Victory (All 10 breached)
100,Line,stairs,58,10,4.14629,Escapers Victory (All 10 breached)
100,Line,stairs,59,10,3.58739,Escapers Victory (All 10 breached)
100,Line,stairs,60,10,3.53296,Escapers Victory (All 10 breached)
100,Line,stairs,61,10,3.44993,Escapers Victory (All 10 breached)
100,Line,stairs,62,10,3.4753,Escapers Victory (All 10 breached)
100,Line,stairs,63,10,3.42351,Escapers Victory (All 10 breached)
100,Line,stairs,64,10,3.4651,Escapers Victory (All 10 breached)
100,Line,stairs,65,10,3.57591,Escapers Victory (All 10 breached)
100,Line,stairs,66,10,3.55301,Escapers Victory (All 10 breached)
100,Line,stairs,67,10,3.54859,Escapers Victory (All 10 breached)
100,Line,stairs,68,10,3.49862,Escapers Victory (All 10 breached)
100,Line,stairs,69,10,3.45848,Escapers Victory (All 10 breached)
100,Line,stairs,70,10,3.35699,Escapers Victory (All 10 breached)
100,Line,stairs,71,10,3.49327,Escapers Victory (All 10 breached)
100,Line,stairs,72,10,3.33587,Escapers Victory (All 10 breached)
100,Line,stairs,73,10,3.49132,Escapers Victory (All 10 breached)
100,Line,stairs,74,10,3.64554,Escapers Victory (All 10 breached)
100,Line,random,75,10,3.81001,Escapers Victory (All 10 breached)
100,Line,random,76,10,3.7286,Escapers Victory (All 10 breached)
100,Line,random,77,10,3.24865,Escapers Victory (All 10 breached)
100,Line,random,78,10,3.14561,Escapers Victory (All 10 breached)
100,Line,random,79,10,2.85969,Escapers Victory (All 10 breached)
100,Line,random,80,10,3.15694,Escapers Victory (All 10 breached)
100,Line,random,81,10,3.85642,Escapers Victory (All 10 breached)
100,Line,random,82,10,4.09994,Escapers Victory (All 10 breached)
