Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
11,Line,wedge,0,10,0.508013,Partial Breach (8 escaped, 2 captured)
11,Line,wedge,1,10,0.408889,Partial Breach (6 escaped, 4 captured)
11,Line,wedge,2,10,0.530428,Partial Breach (7 escaped, 3 captured)
11,Line,wedge,3,10,0.497764,Partial Breach (6 escaped, 4 captured)
11,Line,wedge,4,10,0.457184,Partial Breach (9 escaped, 1 captured)
11,Line,wedge,5,10,0.435451,Partial Breach (8 escaped, 2 captured)
11,Line,wedge,6,10,0.51164,Partial Breach (8 escaped, 2 captured)
11,Line,wedge,7,10,0.314619,Partial Breach (7 escaped, 3 captured)
11,Line,wedge,8,10,0.343165,Partial Breach (7 escaped, 3 captured)
11,Line,wedge,9,10,0.460723,Partial Breach (5 escaped, 5 captured)
11,Line,wedge,10,10,0.398431,Partial Breach (8 escaped, 2 captured)
11,Line,wedge,11,10,0.467234,Partial Breach (9 escaped, 1 captured)
11,Line,wedge,12,10,0.329908,Partial Breach (7 escaped, 3 captured)
11,Line,wedge,13,10,0.431614,Partial Breach (7 escaped, 3 captured)
11,Line,wedge,14,10,0.554808,Partial Breach (6 escaped, 4 captured)
11,Line,wedge,15,10,0.436419,Partial Breach (9 escaped, 1 captured)
11,Line,wedge,16,10,0.527161,Partial Breach (8 escaped, 2 captured)
11,Line,wedge,17,10,0.445807,Partial Breach (8 escaped, 2 captured)
11,Line,wedge,18,10,0.516756,Partial Breach (9 escaped, 1 captured)
11,Line,wedge,19,10,0.420793,Partial Breach (6 escaped, 4 captured)
11,Line,wedge,20,10,0.363953,Partial Breach (7 escaped, 3 captured)
11,Line,wedge,21,10,0.589732,Partial Breach (6 escaped, 4 captured)
11,Line,wedge,22,10,0.328611,Partial Breach (9 escaped, 1 captured)
11,Line,wedge,23,10,0.411325,Partial Breach (8 escaped, 2 captured)
11,Line,wedge,24,10,0.392677,Partial Breach (7 escaped, 3 captured)
11,Line,swarm,25,10,0.597722,Partial Breach (6 escaped, 4 captured)
11,Line,swarm,26,10,0.540953,Partial Breach (7 escaped, 3 captured)
11,Line,swarm,27,10,0.408058,Partial Breach (6 escaped, 4 captured)
11,Line,swarm,28,10,0.478202,Partial Breach (6 escaped, 4 captured)
11,Line,swarm,29,10,0.256294,Partial Breach (8 escaped, 2 captured)
11,Line,swarm,30,10,0.366769,Partial Breach (8 escaped, 2 captured)
11,Line,swarm,31,10,0.210726,Partial Breach (9 escaped, 1 captured)
11,Line,swarm,32,10,0.551429,Partial Breach (4 escaped, 6 captured)
11,Line,swarm,33,10,0.382887,Partial Breach (8 escaped, 2 captured)
11,Line,swarm,34,10,0.148276,Partial Breach (8 escaped, 2 captured)
11,Line,swarm,35,10,0.198875,Escapers Victory (All 10 breached)
11,Line,swarm,36,10,0.590962,Partial Breach (9 escaped, 1 captured)
11,Line,swarm,37,10,0.503181,Partial Breach (3 escaped, 7 captured)
11,Line,swarm,38,10,0.505662,Partial Breach (5 escaped, 5 captured)
11,Line,swarm,39,10,0.575063,Partial Breach (5 escaped, 5 captured)
11,Line,swarm,40,10,0.635083,Partial Breach (6 escaped, 4 captured)
11,Line,swarm,41,10,0.318304,Partial Breach (6 escaped, 4 captured)
11,Line,swarm,42,10,0.510335,Partial Breach (8 escaped, 2 captured)
11,Line,swarm,43,10,0.188455,Escapers Victory (All 10 breached)
11,Line,swarm,44,10,0.620783,Partial Breach (6 escaped, 4 captured)
11,Line,swarm,45,10,0.502288,Partial Breach (5 escaped, 5 captured)
11,Line,swarm,46,10,0.571367,Partial Breach (6 escaped, 4 captured)
11,Line,swarm,47,10,0.512871,Partial Breach (6 escaped, 4 captured)
11,Line,swarm,48,10,0.488866,Partial Breach (5 escaped, 5 captured)
11,Line,swarm,49,10,0.169219,Partial Breach (9 escaped, 1 captured)
11,Line,stairs,50,10,0.425803,Partial Breach (7 escaped, 3 captured)
11,Line,stairs,51,10,0.402477,Partial Breach (5 escaped, 5 captured)
11,Line,stairs,52,10,0.362907,Partial Breach (6 escaped, 4 captured)
11,Line,stairs,53,10,0.390226,Partial Breach (6 escaped, 4 captured)
11,Line,stairs,54,10,0.478603,Partial Breach (9 escaped, 1 captured)
11,Line,stairs,55,10,0.366449,Partial Breach (6 escaped, 4 captured)
11,Line,stairs,56,10,0.333435,Partial Breach (5 escaped, 5 captured)
11,Line,stairs,57,10,0.385898,Partial Breach (7 escaped, 3 captured)
11,Line,stairs,58,10,0.382967,Partial Breach (4 escaped, 6 captured)
