Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
14,Line,wedge,0,10,0.602159,Partial Breach (6 escaped, 4 captured)
14,Line,wedge,1,10,0.489619,Partial Breach (6 escaped, 4 captured)
14,Line,wedge,2,10,0.633717,Partial Breach (7 escaped, 3 captured)
14,Line,wedge,3,10,0.528289,Partial Breach (6 escaped, 4 captured)
14,Line,wedge,4,10,0.528424,Partial Breach (7 escaped, 3 captured)
14,Line,wedge,5,10,0.489256,Partial Breach (8 escaped, 2 captured)
14,Line,wedge,6,10,0.595824,Partial Breach (6 escaped, 4 captured)
14,Line,wedge,7,10,0.406939,Partial Breach (8 escaped, 2 captured)
14,Line,wedge,8,10,0.431387,Partial Breach (9 escaped, 1 captured)
14,Line,wedge,9,10,0.606024,Partial Breach (7 escaped, 3 captured)
14,Line,wedge,10,10,0.444742,Partial Breach (7 escaped, 3 captured)
14,Line,wedge,11,10,0.543613,Partial Breach (8 escaped, 2 captured)
14,Line,wedge,12,10,0.384654,Partial Breach (8 escaped, 2 captured)
14,Line,wedge,13,10,0.494549,Partial Breach (7 escaped, 3 captured)
14,Line,wedge,14,10,0.611541,Partial Breach (5 escaped, 5 captured)
14,Line,wedge,15,10,0.460068,Partial Breach (7 escaped, 3 captured)
14,Line,wedge,16,10,0.606338,Partial Breach (5 escaped, 5 captured)
14,Line,wedge,17,10,0.38939,Partial Breach (6 escaped, 4 captured)
14,Line,wedge,18,10,0.550807,Partial Breach (6 escaped, 4 captured)
14,Line,wedge,19,10,0.549763,Partial Breach (8 escaped, 2 captured)
14,Line,wedge,20,10,0.42514,Partial Breach (8 escaped, 2 captured)
14,Line,wedge,21,10,0.674791,Partial Breach (7 escaped, 3 captured)
14,Line,wedge,22,10,0.352251,Partial Breach (9 escaped, 1 captured)
14,Line,wedge,23,10,0.418714,Partial Breach (6 escaped, 4 captured)
14,Line,wedge,24,10,0.474416,Partial Breach (7 escaped, 3 captured)
14,Line,swarm,25,10,0.636147,Partial Breach (6 escaped, 4 captured)
14,Line,swarm,26,10,0.593902,Partial Breach (3 escaped, 7 captured)
14,Line,swarm,27,10,0.491918,Partial Breach (4 escaped, 6 captured)
14,Line,swarm,28,10,0.514596,Partial Breach (5 escaped, 5 captured)
14,Line,swarm,29,10,0.271606,Partial Breach (9 escaped, 1 captured)
14,Line,swarm,30,10,0.394902,Partial Breach (7 escaped, 3 captured)
14,Line,swarm,31,10,0.253352,Partial Breach (9 escaped, 1 captured)
14,Line,swarm,32,10,0.64737,Partial Breach (4 escaped, 6 captured)
14,Line,swarm,33,10,0.394093,Partial Breach (6 escaped, 4 captured)
14,Line,swarm,34,10,0.141906,Escapers Victory (All 10 breached)
14,Line,swarm,35,10,0.240059,Partial Breach (9 escaped, 1 captured)
14,Line,swarm,36,10,0.597766,Partial Breach (7 escaped, 3 captured)
14,Line,swarm,37,10,0.588444,Partial Breach (5 escaped, 5 captured)
14,Line,swarm,38,10,0.557794,Partial Breach (6 escaped, 4 captured)
14,Line,swarm,39,10,0.663766,Partial Breach (5 escaped, 5 captured)
14,Line,swarm,40,10,0.656139,Partial Breach (6 escaped, 4 captured)
14,Line,swarm,41,10,0.379912,Partial Breach (8 escaped, 2 captured)
14,Line,swarm,42,10,0.506542,Partial Breach (5 escaped, 5 captured)
14,Line,swarm,43,10,0.189623,Escapers Victory (All 10 breached)
14,Line,swarm,44,10,0.572839,Partial Breach (4 escaped, 6 captured)
14,Line,swarm,45,10,0.572723,Partial Breach (7 escaped, 3 captured)
14,Line,swarm,46,10,0.533774,Partial Breach (3 escaped, 7 captured)
14,Line,swarm,47,10,0.580365,Partial Breach (5 escaped, 5 captured)
14,Line,swarm,48,10,0.560372,Partial Breach (7 escaped, 3 captured)
14,Line,swarm,49,10,0.200979,Escapers Victory (All 10 breached)
14,Line,stairs,50,10,0.496606,Partial Breach (6 escaped, 4 captured)
14,Line,stairs,51,10,0.403123,Partial Breach (4 escaped, 6 captured)
14,Line,stairs,52,10,0.44576,Partial Breach (6 escaped, 4 captured)
