Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
50,Line,wedge,0,10,2.69115,Escapers Victory (All 10 breached)
50,Line,wedge,1,10,2.21755,Escapers Victory (All 10 breached)
50,Line,wedge,2,10,2.87377,Escapers Victory (All 10 breached)
50,Line,wedge,3,10,2.49758,Escapers Victory (All 10 breached)
50,Line,wedge,4,10,2.51198,Escapers Victory (All 10 breached)
50,Line,wedge,5,10,2.30649,Escapers Victory (All 10 breached)
50,Line,wedge,6,10,2.70112,Escapers Victory (All 10 breached)
50,Line,wedge,7,10,1.89526,Escapers Victory (All 10 breached)
50,Line,wedge,8,10,2.0558,Escapers Victory (All 10 breached)
50,Line,wedge,9,10,2.66124,Escapers Victory (All 10 breached)
50,Line,wedge,10,10,2.25577,Escapers Victory (All 10 breached)
50,Line,wedge,11,10,2.43596,Escapers Victory (All 10 breached)
50,Line,wedge,12,10,1.94743,Partial Breach (9 escaped, 1 captured)
50,Line,wedge,13,10,2.41482,Escapers Victory (All 10 breached)
50,Line,wedge,14,10,2.82593,Escapers Victory (All 10 breached)
50,Line,wedge,15,10,2.02143,Escapers Victory (All 10 breached)
50,Line,wedge,16,10,2.85216,Escapers Victory (All 10 breached)
50,Line,wedge,17,10,2.09878,Escapers Victory (All 10 breached)
50,Line,wedge,18,10,2.52265,Escapers Victory (All 10 breached)
50,Line,wedge,19,10,2.51653,Escapers Victory (All 10 breached)
50,Line,wedge,20,10,2.09199,Partial Breach (9 escaped, 1 captured)
50,Line,wedge,21,10,3.16634,Escapers Victory (All 10 breached)
50,Line,wedge,22,10,1.77081,Escapers Victory (All 10 breached)
50,Line,wedge,23,10,2.1963,Escapers Victory (All 10 breached)
50,Line,wedge,24,10,2.06287,Escapers Victory (All 10 breached)
50,Line,swarm,25,10,2.90948,Partial Breach (9 escaped, 1 captured)
50,Line,swarm,26,10,2.62177,Escapers Victory (All 10 breached)
50,Line,swarm,27,10,2.12189,Escapers Victory (All 10 breached)
50,Line,swarm,28,10,2.34462,Escapers Victory (All 10 breached)
50,Line,swarm,29,10,1.2255,Escapers Victory (All 10 breached)
50,Line,swarm,30,10,1.64936,Escapers Victory (All 10 breached)
50,Line,swarm,31,10,1.00585,Escapers Victory (All 10 breached)
50,Line,swarm,32,10,2.95894,Escapers Victory (All 10 breached)
50,Line,swarm,33,10,1.7813,Partial Breach (9 escaped, 1 captured)
50,Line,swarm,34,10,0.760313,Escapers Victory (All 10 breached)
50,Line,swarm,35,10,0.903847,Escapers Victory (All 10 breached)
50,Line,swarm,36,10,2.73681,Escapers Victory (All 10 breached)
50,Line,swarm,37,10,2.57598,Escapers Victory (All 10 breached)
50,Line,swarm,38,10,2.55058,Escapers Victory (All 10 breached)
50,Line,swarm,39,10,2.95939,Escapers Victory (All 10 breached)
50,Line,swarm,40,10,2.84249,Escapers Victory (All 10 breached)
50,Line,swarm,41,10,1.53055,Partial Breach (9 escaped, 1 captured)
50,Line,swarm,42,10,2.16587,Escapers Victory (All 10 breached)
50,Line,swarm,43,10,0.767714,Escapers Victory (All 10 breached)
50,Line,swarm,44,10,2.7207,Escapers Victory (All 10 breached)
50,Line,swarm,45,10,2.51663,Escapers Victory (All 10 breached)
50,Line,swarm,46,10,2.51569,Escapers Victory (All 10 breached)
50,Line,swarm,47,10,2.36468,Escapers Victory (All 10 breached)
50,Line,swarm,48,10,2.32194,Escapers Victory (All 10 breached)
50,Line,swarm,49,10,0.791179,Escapers Victory (All 10 breached)
50,Line,stairs,50,10,2.82682,Escapers Victory (All 10 breached)
50,Line,stairs,51,10,2.69063,Escapers Victory (All 10 breached)
50,Line,stairs,52,10,2.70731,Escapers Victory (All 10 breached)
50,Line,stairs,53,10,2.68033,Escapers Victory (All 10 breached)
50,Line,stairs,54,10,2.76954,Escapers Victory (All 10 breached)
50,Line,stairs,55,10,2.73926,Escapers Victory (All 10 breached)
50,Line,stairs,56,10,2.69051,Escapers Victory (All 10 breached)
50,Line,stairs,57,10,2.76411,Escapers Victory (All 10 breached)
50,Line,stairs,58,10,2.75704,Escapers Victory (All 10 breached)
50,Line,stairs,59,10,2.7173,Escapers Victory (All 10 breached)
50,Line,stairs,60,10,2.69751,Escapers Victory (All 10 breached)
50,Line,stairs,61,10,2.69403,Escapers Victory (All 10 breached)
50,Line,stairs,62,10,2.69308,Escapers Victory (All 10 breached)
50,Line,stairs,63,10,2.73982,Escapers Victory (All 10 breached)
50,Line,stairs,64,10,2.69228,Escapers Victory (All 10 breached)
50,Line,stairs,65,10,2.74519,Escapers Victory (All 10 breached)
50,Line,stairs,66,10,2.6981,Escapers Victory (All 10 breached)
50,Line,stairs,67,10,2.58822,Escapers Victory (All 10 breached)
50,Line,stairs,68,10,2.8062,Escapers Victory (All 10 breached)
50,Line,stairs,69,10,2.65482,Escapers Victory (All 10 breached)
50,Line,stairs,70,10,2.68633,Escapers Victory (All 10 breached)
50,Line,stairs,71,10,2.87301,Escapers Victory (All 10 breached)
50,Line,stairs,72,10,2.91379,Escapers Victory (All 10 breached)
50,Line,stairs,73,10,2.79918,Escapers Victory (All 10 breached)
50,Line,stairs,74,10,2.79981,Escapers Victory (All 10 breached)
50,Line,random,75,10,2.858,Escapers Victory (All 10 breached)
50,Line,random,76,10,2.86809,Escapers Victory (All 10 breached)
50,Line,random,77,10,2.37247,Escapers Victory (All 10 breached)
50,Line,random,78,10,2.27971,Escapers Victory (All 10 breached)
50,Line,random,79,10,2.21491,Escapers Victory (All 10 breached)
50,Line,random,80,10,2.39935,Escapers Victory (All 10 breached)
50,Line,random,81,10,2.75481,Escapers Victory (All 10 breached)
50,Line,random,82,10,2.88016,Escapers Victory (All 10 breached)
50,Line,random,83,10,2.69047,Escapers Victory (All 10 breached)
50,Line,random,84,10,2.94205,Escapers Victory (All 10 breached)
50,Line,random,85,10,3.01466,Escapers Victory (All 10 breached)
50,Line,random,86,10,2.71485,Escapers Victory (All 10 breached)
50,Line,random,87,10,2.66225,Escapers Victory (All 10 breached)
50,Line,random,88,10,2.59514,Escapers Victory (All 10 breached)
50,Line,random,89,10,2.72344,Escapers Victory (All 10 breached)
50,Line,random,90,10,2.98549,Escapers Victory (All 10 breached)
50,Line,random,91,10,2.89327,Escapers Victory (All 10 breached)
50,Line,random,92,10,2.93596,Escapers Victory (All 10 breached)
50,Line,random,93,10,2.32082,Partial Breach (9 escaped, 1 captured)
50,Line,random,94,10,2.73118,Escapers Victory (All 10 breached)
50,Line,random,95,10,2.78117,Escapers Victory (All 10 breached)
50,Line,random,96,10,2.83231,Escapers Victory (All 10 breached)
50,Line,random,97,10,2.57597,Escapers Victory (All 10 breached)
50,Line,random,98,10,2.69036,Escapers Victory (All 10 breached)
50,Line,random,99,10,2.72554,Escapers Victory (All 10 breached)
50,Chess,wedge,0,10,2.62537,Escapers Victory (All 10 breached)
50,Chess,wedge,1,10,2.25644,Escapers Victory (All 10 breached)
50,Chess,wedge,2,10,2.91968,Escapers Victory (All 10 breached)
50,Chess,wedge,3,10,2.52861,Escapers Victory (All 10 breached)
50,Chess,wedge,4,10,2.538,Escapers Victory (All 10 breached)
50,Chess,wedge,5,10,2.34149,Escapers Victory (All 10 breached)
50,Chess,wedge,6,10,2.7265,Escapers Victory (All 10 breached)
50,Chess,wedge,7,10,2.01687,Escapers Victory (All 10 breached)
50,Chess,wedge,8,10,1.90951,Escapers Victory (All 10 breached)
50,Chess,wedge,9,10,2.86362,Escapers Victory (All 10 breached)
50,Chess,wedge,10,10,2.30449,Escapers Victory (All 10 breached)
50,Chess,wedge,11,10,2.38016,Escapers Victory (All 10 breached)
50,Chess,wedge,12,10,2.06705,Escapers Victory (All 10 breached)
50,Chess,wedge,13,10,2.16261,Escapers Victory (All 10 breached)
50,Chess,wedge,14,10,2.73559,Escapers Victory (All 10 breached)
50,Chess,wedge,15,10,2.08165,Escapers Victory (All 10 breached)
50,Chess,wedge,16,10,2.78087,Escapers Victory (All 10 breached)
50,Chess,wedge,17,10,2.2187,Escapers Victory (All 10 breached)
50,Chess,wedge,18,10,2.51232,Escapers Victory (All 10 breached)
50,Chess,wedge,19,10,2.55153,Escapers Victory (All 10 breached)
50,Chess,wedge,20,10,1.82629,Escapers Victory (All 10 breached)
50,Chess,wedge,21,10,3.13761,Escapers Victory (All 10 breached)
50,Chess,wedge,22,10,1.69257,Escapers Victory (All 10 breached)
50,Chess,wedge,23,10,2.11309,Escapers Victory (All 10 breached)
50,Chess,wedge,24,10,2.09644,Escapers Victory (All 10 breached)
50,Chess,swarm,25,10,2.98369,Escapers Victory (All 10 breached)
50,Chess,swarm,26,10,2.61958,Escapers Victory (All 10 breached)
50,Chess,swarm,27,10,2.09143,Escapers Victory (All 10 breached)
50,Chess,swarm,28,10,2.33455,Escapers Victory (All 10 breached)
50,Chess,swarm,29,10,1.28406,Escapers Victory (All 10 breached)
50,Chess,swarm,30,10,1.74094,Escapers Victory (All 10 breached)
50,Chess,swarm,31,10,1.00577,Escapers Victory (All 10 breached)
50,Chess,swarm,32,10,2.78458,Escapers Victory (All 10 breached)
50,Chess,swarm,33,10,1.82665,Escapers Victory (All 10 breached)
50,Chess,swarm,34,10,0.623469,Escapers Victory (All 10 breached)
50,Chess,swarm,35,10,1.10033,Escapers Victory (All 10 breached)
50,Chess,swarm,36,10,2.65221,Escapers Victory (All 10 breached)
50,Chess,swarm,37,10,2.45549,Escapers Victory (All 10 breached)
50,Chess,swarm,38,10,2.62566,Escapers Victory (All 10 breached)
50,Chess,swarm,39,10,3.10257,Escapers Victory (All 10 breached)
