Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
47,Line,wedge,0,10,2.65132,Escapers Victory (All 10 breached)
47,Line,wedge,1,10,2.27755,Escapers Victory (All 10 breached)
47,Line,wedge,2,10,2.84429,Escapers Victory (All 10 breached)
47,Line,wedge,3,10,2.47008,Escapers Victory (All 10 breached)
47,Line,wedge,4,10,2.47899,Escapers Victory (All 10 breached)
47,Line,wedge,5,10,2.08568,Escapers Victory (All 10 breached)
47,Line,wedge,6,10,2.67747,Escapers Victory (All 10 breached)
47,Line,wedge,7,10,1.69773,Escapers Victory (All 10 breached)
47,Line,wedge,8,10,1.90929,Escapers Victory (All 10 breached)
47,Line,wedge,9,10,2.5243,Escapers Victory (All 10 breached)
47,Line,wedge,10,10,2.061,Escapers Victory (All 10 breached)
47,Line,wedge,11,10,2.22337,Escapers Victory (All 10 breached)
47,Line,wedge,12,10,1.94083,Escapers Victory (All 10 breached)
47,Line,wedge,13,10,2.25279,Escapers Victory (All 10 breached)
47,Line,wedge,14,10,2.83569,Escapers Victory (All 10 breached)
47,Line,wedge,15,10,2.06032,Escapers Victory (All 10 breached)
47,Line,wedge,16,10,2.8814,Escapers Victory (All 10 breached)
47,Line,wedge,17,10,2.01671,Escapers Victory (All 10 breached)
47,Line,wedge,18,10,2.37795,Escapers Victory (All 10 breached)
47,Line,wedge,19,10,2.4291,Escapers Victory (All 10 breached)
47,Line,wedge,20,10,2.21683,Partial Breach (9 escaped, 1 captured)
47,Line,wedge,21,10,3.05653,Escapers Victory (All 10 breached)
47,Line,wedge,22,10,1.60861,Escapers Victory (All 10 breached)
47,Line,wedge,23,10,1.893,Escapers Victory (All 10 breached)
47,Line,wedge,24,10,1.967,Escapers Victory (All 10 breached)
47,Line,swarm,25,10,2.99629,Escapers Victory (All 10 breached)
47,Line,swarm,26,10,2.52768,Escapers Victory (All 10 breached)
47,Line,swarm,27,10,2.20381,Escapers Victory (All 10 breached)
47,Line,swarm,28,10,2.20544,Escapers Victory (All 10 breached)
47,Line,swarm,29,10,1.23511,Escapers Victory (All 10 breached)
47,Line,swarm,30,10,1.66467,Escapers Victory (All 10 breached)
47,Line,swarm,31,10,0.891346,Escapers Victory (All 10 breached)
47,Line,swarm,32,10,2.90112,Escapers Victory (All 10 breached)
47,Line,swarm,33,10,1.63341,Escapers Victory (All 10 breached)
47,Line,swarm,34,10,0.678411,Escapers Victory (All 10 breached)
47,Line,swarm,35,10,1.0054,Escapers Victory (All 10 breached)
47,Line,swarm,36,10,2.61032,Escapers Victory (All 10 breached)
47,Line,swarm,37,10,2.54975,Escapers Victory (All 10 breached)
47,Line,swarm,38,10,2.45679,Escapers Victory (All 10 breached)
47,Line,swarm,39,10,2.95295,Escapers Victory (All 10 breached)
47,Line,swarm,40,10,2.85254,Escapers Victory (All 10 breached)
47,Line,swarm,41,10,1.62201,Escapers Victory (All 10 breached)
47,Line,swarm,42,10,2.24296,Partial Breach (9 escaped, 1 captured)
47,Line,swarm,43,10,0.857094,Escapers Victory (All 10 breached)
47,Line,swarm,44,10,2.62127,Partial Breach (9 escaped, 1 captured)
47,Line,swarm,45,10,2.34149,Escapers Victory (All 10 breached)
47,Line,swarm,46,10,2.39412,Escapers Victory (All 10 breached)
