Np,Arc,Chess,Line
8,1.8,2.32,2.12
9,4.8,5.12,5.32
10,2.52,2.44,2.32
11,3.2,2.2,2.6
12,2.6,2.64,2.8
13,7.76,5.76,7.08
14,2.72,3.04,3.04
15,2.96,2.52,3.12
16,3.24,3.68,3.2
17,6.32,6.84,6.92
18,3.2,3.44,3.52
19,3.76,4.0,4.36
20,3.96,3.84,4.12
21,8.48,6.44,7.16
22,3.32,4.04,4.88
23,3.72,3.68,3.88
24,3.68,4.16,4.68
25,7.92,5.36,7.52
