Np,Arc,Chess,Line
8,3.4,2.28,3.16
9,6.8,6.2,6.4
10,3.12,3.52,3.6
11,3.56,2.84,3.48
12,3.24,3.52,3.28
13,7.52,6.28,6.48
14,3.48,3.8,3.88
15,4.04,4.12,4.4
16,3.96,4.68,4.96
17,7.04,6.52,7.12
18,4.32,4.68,5.2
19,4.08,5.08,4.88
20,4.24,4.88,4.88
21,7.76,6.72,7.2
22,4.32,4.92,5.24
23,4.64,5.32,5.28
24,4.76,5.28,5.64
25,7.4,6.56,6.28
