Np,Arc,Chess,Line
8,2.32,2.6,2.48
9,5.04,5.16,5.68
10,2.2,2.28,2.4
11,3.16,3.12,3.08
12,3.24,3.12,2.96
13,6.8,7.04,7.52
14,3.16,3.08,3.32
15,3.28,2.88,3.6
16,3.28,3.56,3.44
17,6.88,6.92,7.2
18,3.2,3.28,3.32
19,2.96,3.84,3.6
20,2.92,3.44,3.44
21,7.64,8.2,8.16
22,4.08,4.28,4.44
23,3.88,4.28,4.32
24,4.16,4.16,4.16
25,7.56,8.28,8.2
