Np,Arc,Chess,Line
8,88.0,64.0,72.0
9,12.0,28.000000000000004,28.000000000000004
10,64.0,76.0,48.0
11,64.0,68.0,40.0
12,72.0,48.0,32.0
13,20.0,48.0,60.0
14,64.0,36.0,28.000000000000004
15,52.0,32.0,28.000000000000004
16,56.00000000000001,48.0,44.0
17,36.0,76.0,72.0
18,44.0,36.0,28.000000000000004
19,40.0,32.0,24.0
20,48.0,20.0,20.0
21,32.0,68.0,68.0
22,48.0,28.000000000000004,36.0
23,48.0,32.0,24.0
24,48.0,36.0,24.0
25,36.0,88.0,84.0
