Np,Arc,Chess,Line
8,72.0,64.0,68.0
9,0.0,0.0,0.0
10,52.0,48.0,60.0
11,32.0,52.0,48.0
12,48.0,52.0,52.0
13,0.0,0.0,0.0
14,44.0,40.0,32.0
15,44.0,48.0,24.0
16,36.0,16.0,32.0
17,0.0,0.0,0.0
18,32.0,12.0,32.0
19,24.0,8.0,8.0
20,24.0,4.0,4.0
21,0.0,16.0,12.0
22,40.0,12.0,4.0
23,28.000000000000004,16.0,8.0
24,32.0,16.0,4.0
25,0.0,32.0,4.0
