Np,Arc,Chess,Line
8,1.28,1.84,1.88
9,5.8,5.12,5.4
10,1.96,1.8,2.72
11,2.04,2.16,3.24
12,1.72,3.0,3.64
13,5.08,3.96,3.48
14,2.08,4.08,3.6
15,2.6,3.72,3.6
16,2.52,3.28,3.68
17,4.56,1.76,1.92
18,3.16,3.96,4.24
19,3.04,4.12,4.52
20,2.8,5.0,4.92
21,5.08,2.4,2.32
22,2.92,4.68,4.44
23,3.36,4.72,5.04
24,3.24,4.32,5.24
25,4.64,0.72,0.96
