Np,Arc,Chess,Line
8,52.0,52.0,48.0
9,0.0,0.0,0.0
10,56.00000000000001,64.0,48.0
11,32.0,44.0,32.0
12,28.000000000000004,24.0,36.0
13,0.0,0.0,0.0
14,24.0,32.0,28.000000000000004
15,28.000000000000004,40.0,16.0
16,28.000000000000004,24.0,16.0
17,0.0,0.0,0.0
18,16.0,20.0,16.0
19,36.0,12.0,16.0
20,36.0,24.0,12.0
21,0.0,0.0,0.0
22,0.0,12.0,0.0
23,4.0,8.0,8.0
24,8.0,4.0,0.0
25,0.0,0.0,0.0
