step,id,type,x,y,z
11,1,pursuer,131.212,86.6234,40.9646
11,2,pursuer,161.716,85.4456,42.8589
11,3,pursuer,32.8871,31.6474,36.6504
11,4,pursuer,193.408,136.581,42.0571
11,5,pursuer,137.908,42.7625,43.3516
11,6,pursuer,147.157,151.91,37.8088
11,7,pursuer,82.9873,179.46,33.5117
11,8,pursuer,204.224,137.625,42.7022
11,9,pursuer,150.472,188.687,38.1208
12,0,escaper,89.9558,113.529,200.004
12,1,escaper,137.289,164.445,199.999
12,2,escaper,28.4246,58.0641,199.998
12,0,pursuer,134.421,87.8281,45.0007
12,1,pursuer,132.226,87.3884,44.7574
12,2,pursuer,161.931,86.2674,46.7677
12,3,pursuer,34.787,32.3572,40.098
12,4,pursuer,194.027,137.389,45.9254
12,5,pursuer,137.175,43.2949,47.2476
12,6,pursuer,148.936,152.311,41.369
12,7,pursuer,85.1165,178.325,36.7019
12,8,pursuer,204.555,138.417,46.609
12,9,pursuer,152.175,188.273,41.7165
13,0,escaper,90.0556,113.536,200.004
13,1,escaper,137.389,164.452,199.999
13,2,escaper,28.5243,58.0717,199.998
13,0,pursuer,135.326,88.5953,48.8208
13,1,pursuer,133.191,88.1627,48.5614
13,2,pursuer,162.097,87.0966,50.6772
13,3,pursuer,36.645,33.0678,43.5683
13,4,pursuer,194.596,138.206,49.7996
13,5,pursuer,136.397,43.823,51.1356
13,6,pursuer,150.671,152.721,44.9502
13,7,pursuer,87.2089,177.188,39.916
13,8,pursuer,204.835,139.217,50.5182
13,9,pursuer,153.831,187.862,45.334
14,0,escaper,90.1553,113.544,200.005
14,1,escaper,137.488,164.459,199.998
14,2,escaper,28.6242,58.076,199.997
14,0,pursuer,136.178,89.3717,52.651
14,1,pursuer,134.103,88.9463,52.3762
14,2,pursuer,162.211,87.9333,54.5871
14,3,pursuer,38.463,33.7155,47.072
14,4,pursuer,195.113,139.03,53.6793
14,5,pursuer,135.574,44.2822,55.023
14,6,pursuer,152.359,153.139,48.5523
14,7,pursuer,89.263,176.05,43.1537
14,8,pursuer,205.065,140.024,54.4292
14,9,pursuer,155.441,187.456,48.9733
15,0,escaper,90.255,113.551,200.005
15,1,escaper,137.588,164.467,199.998
15,2,escaper,28.7239,58.0838,199.997
15,0,pursuer,136.978,90.1562,56.4909
15,1,pursuer,134.964,89.7383,56.2015
15,2,pursuer,162.275,88.7764,58.4967
15,3,pursuer,40.2326,34.4325,50.5868
15,4,pursuer,195.577,139.863,57.5641
15,5,pursuer,134.71,44.8071,58.8932
15,6,pursuer,153.998,153.567,52.1756
15,7,pursuer,91.2775,174.909,46.4158
15,8,pursuer,205.242,140.838,58.3415
15,9,pursuer,157.001,187.054,52.6344
16,0,escaper,90.3547,113.56,200.005
16,1,escaper,137.687,164.478,199.998
16,2,escaper,28.8235,58.0921,199.996
16,0,pursuer,137.723,90.9489,60.3402
16,1,pursuer,135.769,90.5387,60.037
16,2,pursuer,162.285,89.6259,62.4054
16,3,pursuer,41.955,35.1601,54.1229
16,4,pursuer,195.986,140.747,61.4437
16,5,pursuer,133.801,45.3375,62.7522
16,6,pursuer,155.585,154.048,55.816
16,7,pursuer,93.2509,173.765,49.7019
16,8,pursuer,205.366,141.703,62.2449
